reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
GCID,DeerCk_RST_Rel,0.99,0.006,0.97,0.997,441.728,404.941,Upper Sac R,DeerCk_RST_Rel to GCID,441.728 to 404.941,39.9974,-121.967735,39.796839,-122.049394,2021-03-19_DeerCk_RST_Rel,2021-03-19,12,7,1,1,DeerCk_RST_Rel
Blw_IrvineFinch,GCID,0.973,0.022,0.872,0.995,404.941,394.668,Upper Sac R,GCID to Blw_IrvineFinch,404.941 to 394.668,39.796839,-122.049394,39.73146,-121.97483,2021-03-19_DeerCk_RST_Rel,2021-03-19,7,5,1,2,DeerCk_RST_Rel
Ord,Blw_IrvineFinch,0.99,0.01,0.934,0.999,394.668,371.658,Upper Sac R,Blw_IrvineFinch to Ord,394.668 to 371.658,39.73146,-121.97483,39.63447,-121.98959,2021-03-19_DeerCk_RST_Rel,2021-03-19,5,4,1,3,DeerCk_RST_Rel
BlwOrd,Ord,1,0,1,1,371.658,361.728,Upper Sac R,Ord to BlwOrd,371.658 to 361.728,39.63447,-121.98959,39.56548,-122.0018,2021-03-19_DeerCk_RST_Rel,2021-03-19,4,4,1,4,DeerCk_RST_Rel
Colusa AC2,BlwOrd,1,0,1,1,361.728,318.618,Lower Sac R,BlwOrd to Colusa AC2,361.728 to 318.618,39.56548,-122.0018,39.28007,-122.01891,2021-03-19_DeerCk_RST_Rel,2021-03-19,4,4,1,5,DeerCk_RST_Rel
AbvColusaBr,Colusa AC2,1,0,1,1,318.618,307.738,Lower Sac R,Colusa AC2 to AbvColusaBr,318.618 to 307.738,39.28007,-122.01891,39.2205,-122.00847,2021-03-19_DeerCk_RST_Rel,2021-03-19,4,4,1,6,DeerCk_RST_Rel
Colusa BC2,AbvColusaBr,1,0,1,1,307.738,296.278,Lower Sac R,AbvColusaBr to Colusa BC2,307.738 to 296.278,39.2205,-122.00847,39.184963,-121.943214,2021-03-19_DeerCk_RST_Rel,2021-03-19,4,4,1,7,DeerCk_RST_Rel
Colusa BC3,Colusa BC2,1,0,1,1,296.278,287.208,Lower Sac R,Colusa BC2 to Colusa BC3,296.278 to 287.208,39.184963,-121.943214,39.13132,-121.936554,2021-03-19_DeerCk_RST_Rel,2021-03-19,4,4,1,8,DeerCk_RST_Rel
AbvTisdale,Colusa BC3,1,0,1,1,287.208,269.238,Lower Sac R,Colusa BC3 to AbvTisdale,287.208 to 269.238,39.13132,-121.936554,39.0364,-121.82918,2021-03-19_DeerCk_RST_Rel,2021-03-19,4,4,1,9,DeerCk_RST_Rel
BlwTisdale,AbvTisdale,1,0,1,1,269.238,261.408,Lower Sac R,AbvTisdale to BlwTisdale,269.238 to 261.408,39.0364,-121.82918,38.98941,-121.80463,2021-03-19_DeerCk_RST_Rel,2021-03-19,4,4,1,10,DeerCk_RST_Rel
BlwChinaBend,BlwTisdale,1,0,1,1,261.408,240.618,Lower Sac R,BlwTisdale to BlwChinaBend,261.408 to 240.618,38.98941,-121.80463,38.88406,-121.81713,2021-03-19_DeerCk_RST_Rel,2021-03-19,4,4,1,11,DeerCk_RST_Rel
