reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
StarBend,FR_Boyds_Rel,0.984,0.004,0.972,0.991,240.75,234.92,Feather_R,FR_Boyds_Rel to StarBend,240.75 to 234.92,39.057335,-121.61066,39.009884,-121.59382,2014-04-11_FR_Boyds_Rel,2014-04-11,150,135,1,4,FR_Boyds_Rel
BC_Beach,StarBend,0.98,0.003,0.973,0.986,234.92,217.31,Feather_R,StarBend to BC_Beach,234.92 to 217.31,39.009884,-121.59382,38.877506,-121.61404,2014-04-11_FR_Boyds_Rel,2014-04-11,135,94,1,5,FR_Boyds_Rel
Blw_FRConf,BC_Beach,0.99,0.004,0.98,0.995,217.31,203.46,Lower Sac R,BC_Beach to Blw_FRConf,217.31 to 203.46,38.877506,-121.61404,38.78212,-121.61526,2014-04-11_FR_Boyds_Rel,2014-04-11,94,63,1,6,FR_Boyds_Rel
TowerBridge,Blw_FRConf,0.992,0.002,0.987,0.996,203.46,172,Lower Sac R,Blw_FRConf to TowerBridge,203.46 to 172,38.78212,-121.61526,38.5802,-121.508,2014-04-11_FR_Boyds_Rel,2014-04-11,63,64,1,7,FR_Boyds_Rel
FreeportBr,TowerBridge,0.99,0.003,0.983,0.994,172,151.1,Lower Sac R,TowerBridge to FreeportBr,172 to 151.1,38.5802,-121.508,38.45568,-121.501976,2014-04-11_FR_Boyds_Rel,2014-04-11,64,54,1,8,FR_Boyds_Rel
CoxRiffle,FR_Gridley_Rel,0.966,0.008,0.945,0.979,287.38,283.87,Feather_R,FR_Gridley_Rel to CoxRiffle,287.38 to 283.87,39.357876,-121.63604,39.333267,-121.632675,2014-04-10_FR_Gridley_Rel,2014-04-10,150,131,2,1,FR_Gridley_Rel
SunsetPumps,CoxRiffle,0.96,0.005,0.949,0.969,283.87,269.75,Feather_R,CoxRiffle to SunsetPumps,283.87 to 269.75,39.333267,-121.632675,39.251724,-121.63522,2014-04-10_FR_Gridley_Rel,2014-04-10,131,75,2,2,FR_Gridley_Rel
ShanghaiBend,SunsetPumps,0.942,0.008,0.924,0.957,269.75,245.45,Feather_R,SunsetPumps to ShanghaiBend,269.75 to 245.45,39.251724,-121.63522,39.094635,-121.59285,2014-04-10_FR_Gridley_Rel,2014-04-10,75,13,2,3,FR_Gridley_Rel
StarBend,ShanghaiBend,0.985,0.011,0.939,0.996,245.45,234.92,Feather_R,ShanghaiBend to StarBend,245.45 to 234.92,39.094635,-121.59285,39.009884,-121.59382,2014-04-10_FR_Gridley_Rel,2014-04-10,13,15,2,4,FR_Gridley_Rel
BC_Beach,StarBend,0.977,0.01,0.946,0.991,234.92,217.31,Feather_R,StarBend to BC_Beach,234.92 to 217.31,39.009884,-121.59382,38.877506,-121.61404,2014-04-10_FR_Gridley_Rel,2014-04-10,15,10,2,5,FR_Gridley_Rel
Blw_FRConf,BC_Beach,0.974,0.015,0.922,0.992,217.31,203.46,Lower Sac R,BC_Beach to Blw_FRConf,217.31 to 203.46,38.877506,-121.61404,38.78212,-121.61526,2014-04-10_FR_Gridley_Rel,2014-04-10,10,7,2,6,FR_Gridley_Rel
TowerBridge,Blw_FRConf,1,0,1,1,203.46,172,Lower Sac R,Blw_FRConf to TowerBridge,203.46 to 172,38.78212,-121.61526,38.5802,-121.508,2014-04-10_FR_Gridley_Rel,2014-04-10,7,7,2,7,FR_Gridley_Rel
FreeportBr,TowerBridge,0.96,0.02,0.896,0.985,172,151.1,Lower Sac R,TowerBridge to FreeportBr,172 to 151.1,38.5802,-121.508,38.45568,-121.501976,2014-04-10_FR_Gridley_Rel,2014-04-10,7,3,2,8,FR_Gridley_Rel
