estimate,se,lcl,ucl,StudyID,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,reach_num,release,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end
0.8304566,0.1090961,0.5175385,0.9572031,FR_Spring_2019,FR_Gridley_Rel,Gridley,287.38,287.02,Feather_R,"FR_Gridley_Rel to 
Gridley",287.38 to 287.02,1,FR_Gridley_Rel,300,298,39.357876,-121.63604,39.35455,-121.63422
0.9273142,0.0264494,0.8553291,0.9649489,FR_Spring_2019,Gridley,CoxRiffle,287.02,283.87,Feather_R,"Gridley to 
CoxRiffle",287.02 to 283.87,2,FR_Gridley_Rel,298,291,39.35455,-121.63422,39.333267,-121.632675
0.9258377,0.0130315,0.8958976,0.9476699,FR_Spring_2019,CoxRiffle,SunsetPumps,283.87,269.75,Feather_R,"CoxRiffle to 
SunsetPumps",283.87 to 269.75,3,FR_Gridley_Rel,291,261,39.333267,-121.632675,39.251724,-121.63522
0.8457466,0.0162639,0.8111159,0.8750065,FR_Spring_2019,SunsetPumps,ShanghaiBend,269.75,245.45,Feather_R,"SunsetPumps to 
ShanghaiBend",269.75 to 245.45,4,FR_Gridley_Rel,261,114,39.251724,-121.63522,39.094635,-121.59285
0.9999997,9.969381e-4,1.979462e-302,1,FR_Spring_2019,ShanghaiBend,FR_Boyds_Rel,245.45,240.75,Feather_R,"ShanghaiBend to 
FR_Boyds_Rel",245.45 to 240.75,5,FR_Gridley_Rel,114,0,39.094635,-121.59285,39.057335,-121.61066
0.3958236,0.2369266,0.0859046,0.8203768,FR_Spring_2019,FR_Boyds_Rel,BoydsPump,240.75,240.27,Feather_R,"FR_Boyds_Rel to 
BoydsPump",240.75 to 240.27,6,FR_Gridley_Rel,0,118,39.057335,-121.61066,39.0518,-121.61039
1,7.393518e-7,0.9999986,1.0000014,FR_Spring_2019,BoydsPump,StarBend,240.27,234.92,Feather_R,"BoydsPump to 
StarBend",240.27 to 234.92,7,FR_Gridley_Rel,118,88,39.0518,-121.61039,39.009884,-121.59382
0.835613,0.0239685,0.7831202,0.8773898,FR_Spring_2019,StarBend,BC_Beach,234.92,217.31,Feather_R,"StarBend to 
BC_Beach",234.92 to 217.31,8,FR_Gridley_Rel,88,119,39.009884,-121.59382,38.877506,-121.61404
1,1.284104e-4,1.782203e-301,1,FR_Spring_2019,BC_Beach,Butte6,217.31,206.48,Feather_R,"BC_Beach to 
Butte6",217.31 to 206.48,9,FR_Gridley_Rel,119,0,38.877506,-121.61404,38.78346,-121.63226
0.8524827,0.060483,0.6924366,0.9368422,FR_Spring_2019,Butte6,Blw_FRConf,206.48,203.46,Sutter Bypass,"Butte6 to 
Blw_FRConf",206.48 to 203.46,10,FR_Gridley_Rel,0,82,38.78346,-121.63226,38.78212,-121.61526
