estimate,se,lcl,ucl,StudyID,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end
0.9834291,0.005955,0.9666626,0.9918344,FR_Spring_2021,FR_Boyds_Rel,FR_Boyds_Rel_Rec,240.755,240.754,Feather_R,"FR_Boyds_Rel to 
FR_Boyds_Rel_Rec",240.755 to 240.754,590,261,39.057335,-121.61066,39.057335,-121.61066
0.9962935,0.0038266,0.9724249,0.9995122,FR_Spring_2021,FR_Boyds_Rel_Rec,BoydsPump,240.754,240.277,Feather_R,"FR_Boyds_Rel_Rec to 
BoydsPump",240.754 to 240.277,261,577,39.057335,-121.61066,39.0518,-121.61039
0.9324089,0.0104511,0.9088164,0.9502315,FR_Spring_2021,BoydsPump,StarBend,240.277,234.926,Feather_R,"BoydsPump to 
StarBend",240.277 to 234.926,577,539,39.0518,-121.61039,39.009884,-121.59382
0.6400742,0.0206741,0.5986388,0.679522,FR_Spring_2021,StarBend,BC_Beach,234.926,217.314,Feather_R,"StarBend to 
BC_Beach",234.926 to 217.314,539,345,39.009884,-121.59382,38.877506,-121.61404
0.8499345,0.0192801,0.8081153,0.8839485,FR_Spring_2021,BC_Beach,FR_Verona_Top,217.314,206.984,Feather_R,"BC_Beach to 
FR_Verona_Top",217.314 to 206.984,345,286,38.877506,-121.61404,38.79492,-121.63128
0.9720973,0.0104658,0.9423764,0.9867051,FR_Spring_2021,FR_Verona_Top,FR_Verona_Bot,206.984,205.959,Feather_R,"FR_Verona_Top to 
FR_Verona_Bot",206.984 to 205.959,286,248,38.79492,-121.63128,38.78821,-121.62324
0.9720631,0.010524,0.9421281,0.9867319,FR_Spring_2021,FR_Verona_Bot,Blw_FRConf,205.959,203.468,Feather_R,"FR_Verona_Bot to 
Blw_FRConf",205.959 to 203.468,248,276,38.78821,-121.62324,38.78212,-121.61526
0.9821773,0.0209367,0.8409169,0.9982624,FR_Spring_2021,Blw_FRConf,Blw_FR_GS2,203.468,199,Lower Sac R,"Blw_FRConf to 
Blw_FR_GS2",203.468 to 199,276,191,38.78212,-121.61526,38.73505,-121.60267
0.8010465,0.0288863,0.7383856,0.8517131,FR_Spring_2021,Blw_FR_GS2,Blw_Elkhorn_GS1,199,191.92,Lower Sac R,"Blw_FR_GS2 to 
Blw_Elkhorn_GS1",199 to 191.92,191,218,38.73505,-121.60267,38.64737,-121.57771
0.775229,0.028272,0.7150554,0.8257913,FR_Spring_2021,Blw_Elkhorn_GS1,TowerBridge,191.92,172,Lower Sac R,"Blw_Elkhorn_GS1 to 
TowerBridge",191.92 to 172,218,169,38.64737,-121.57771,38.5802,-121.508
0.9889146,0.00834,0.9525679,0.9974828,FR_Spring_2021,TowerBridge,I80-50_Br,172,170.748,Lower Sac R,"TowerBridge to 
I80-50_Br",172 to 170.748,169,162,38.5802,-121.508,38.571133,-121.5164
0.9753086,0.0121923,0.9360741,0.9907021,FR_Spring_2021,I80-50_Br,SacTrawl,170.748,166.8225,Lower Sac R,"I80-50_Br to 
SacTrawl",170.748 to 166.8225,162,163,38.571133,-121.5164,38.539519999999996,-121.51444000000001
0.9754599,0.0121185,0.9364549,0.9907592,FR_Spring_2021,SacTrawl,Little Pocket_DS of I80,166.8225,164.387,Lower Sac R,"SacTrawl to 
Little Pocket_DS of I80",166.8225 to 164.387,163,159,38.539519999999996,-121.51444000000001,38.52448,-121.52849
0.7987422,0.0317966,0.7292395,0.8539764,FR_Spring_2021,Little Pocket_DS of I80,Freeport,164.387,152.438,Lower Sac R,"Little Pocket_DS of I80 to 
Freeport",164.387 to 152.438,159,127,38.52448,-121.52849,38.46467,-121.50501
1,0,1,1,FR_Spring_2021,Freeport,Abv_Clarksburg,152.438,147.668,Lower Sac R,"Freeport to 
Abv_Clarksburg",152.438 to 147.668,127,117,38.46467,-121.50501,38.43443,-121.52448
0.1338579,0.0302145,0.0848615,0.2048121,FR_Spring_2021,Abv_Clarksburg,Chipps,147.668,71.48599999999999,Lower Sac R,"Abv_Clarksburg to 
Chipps",147.668 to 71.486,117,17,38.43443,-121.52448,38.046132,-121.912643
0.7647062,0.1028794,0.5144917,0.9088216,FR_Spring_2021,Chipps,Benicia,71.48599999999999,52.144000000000005,West Delta,"Chipps to 
Benicia",71.486 to 52.144,17,13,38.046132,-121.912643,38.0423015,-122.1236
0.6282038,0.1389561,0.3448939,0.8443028,FR_Spring_2021,Benicia,GoldenGateE,52.144000000000005,1.71,Carquinez Strait,"Benicia to 
GoldenGateE",52.144 to 1.71,13,7,38.0423015,-122.1236,37.82794,-122.46168
0.9994274,0,0.9994274,0.9994274,FR_Spring_2021,GoldenGateE,GoldenGateW,1.71,0.8,SF Bay,"GoldenGateE to 
GoldenGateW",1.71 to 0.8,7,7,37.82794,-122.46168,37.82126,-122.46918
