estimate,se,lcl,ucl,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,reach_num,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,StudyID
0.7533268,0.0571009,0.6257815,0.8479624,RBDD_Rel,Mill_Ck_Conf,450,441.31,Upper Sac R,"RBDD_Rel to 
Mill_Ck_Conf",450 to 441.31,1,88,44,40.0327,-122.11987,40.0327,-122.11987,RBDD,Juv_Green_Sturgeon_2016_2019
0.9749755,0.020013,0.8864359,0.9948841,Mill_Ck_Conf,Abv_WoodsonBr,441.31,425.15,Upper Sac R,"Mill_Ck_Conf to 
Abv_WoodsonBr",441.31 to 425.15,2,44,47,40.0327,-122.11987,39.920094,-122.08446,RBDD,Juv_Green_Sturgeon_2016_2019
1,4.39E-07,0.9999991,1.0000009,Abv_WoodsonBr,Woodson_Rel,425.15,420,Upper Sac R,"Abv_WoodsonBr to 
Woodson_Rel",425.15 to 420,3,47,0,39.920094,-122.08446,39.920094,-122.08446,RBDD,Juv_Green_Sturgeon_2016_2019
0.9609028,0.0322065,0.8207698,0.9924758,Woodson_Rel,GCID_blw,420,404.42,Upper Sac R,"Woodson_Rel to 
GCID_blw",420 to 404.42,4,0,21,39.920094,-122.08446,39.79114,-122.036026,RBDD,Juv_Green_Sturgeon_2016_2019
0.9722466,0.0503172,0.475349,0.9992623,GCID_blw,Blw_IrvineFinch,404.42,394.66,Upper Sac R,"GCID_blw to 
Blw_IrvineFinch",404.42 to 394.66,5,21,37,39.79114,-122.036026,39.73146,-121.97483,RBDD,Juv_Green_Sturgeon_2016_2019
0.9661814,0.0167909,0.9125472,0.9873772,Blw_IrvineFinch,BlwOrd,394.66,361.72,Upper Sac R,"Blw_IrvineFinch to 
BlwOrd",394.66 to 361.72,6,37,38,39.73146,-121.97483,39.56548,-122.0018,RBDD,Juv_Green_Sturgeon_2016_2019
1,2.69E-07,0.9999995,1.0000005,BlwOrd,ButteBr,361.72,344.1,Upper Sac R,"BlwOrd to 
ButteBr",361.72 to 344.1,7,38,29,39.56548,-122.0018,39.4569,-121.995,RBDD,Juv_Green_Sturgeon_2016_2019
0.9947328,0.0108087,0.7681017,0.9999071,ButteBr,AbvColusaBr,344.1,307.73,Lower Sac R,"ButteBr to 
AbvColusaBr",344.1 to 307.73,8,29,19,39.4569,-121.995,39.2205,-122.00847,RBDD,Juv_Green_Sturgeon_2016_2019
1,6.51E-05,1.37E-301,1,AbvColusaBr,AbvTisdale,307.73,269.23,Lower Sac R,"AbvColusaBr to 
AbvTisdale",307.73 to 269.23,9,19,27,39.2205,-122.00847,39.0364,-121.82918,RBDD,Juv_Green_Sturgeon_2016_2019
0.9799503,0.0081473,0.9559143,0.991005,AbvTisdale,TowerBridge,269.23,172,Lower Sac R,"AbvTisdale to 
TowerBridge",269.23 to 172,10,27,31,39.0364,-121.82918,38.5802,-121.508,RBDD,Juv_Green_Sturgeon_2016_2019
0.8684912,0.2396216,0.0975807,0.9975268,TowerBridge,I80-50_Br,172,170.74,Lower Sac R,"TowerBridge to 
I80-50_Br",172 to 170.74,11,31,30,38.5802,-121.508,38.571133,-121.5164,RBDD,Juv_Green_Sturgeon_2016_2019
1,2.60E-06,0.9999949,1.0000051,I80-50_Br,Freeport,170.74,152.43,Lower Sac R,"I80-50_Br to 
Freeport",170.74 to 152.43,12,30,21,38.571133,-121.5164,38.46467,-121.50501,RBDD,Juv_Green_Sturgeon_2016_2019
1,6.52E-05,3.41E-301,1,Freeport,Hood,152.43,138.22,Lower Sac R,"Freeport to 
Hood",152.43 to 138.22,13,21,14,38.46467,-121.50501,38.3617,-121.52033,RBDD,Juv_Green_Sturgeon_2016_2019
1,0,1,1,Hood,RioVista,138.22,97.75666667,Lower Sac R,"Hood to 
RioVista",138.22 to 97.7566666666667,14,14,11,38.3617,-121.52033,38.15694667,-121.6846433,RBDD,Juv_Green_Sturgeon_2016_2019
0.3869756,87.892012,0.00E+00,1,RioVista,Chipps,97.75666667,71.48,West Delta,"RioVista to 
Chipps",97.7566666666667 to 71.48,15,11,2,38.15694667,-121.6846433,38.046132,-121.912643,RBDD,Juv_Green_Sturgeon_2016_2019
0.8076166,0.0711751,0.6310517,0.9115302,Woodson_Rel,GCID_blw,420,404.42,Upper Sac R,"Woodson_Rel to 
GCID_blw",420 to 404.42,1,31,10,39.920094,-122.08446,39.79114,-122.036026,Woodson,Juv_Green_Sturgeon_2016_2019
0.8976713,0.0969496,0.525718,0.9858007,GCID_blw,Blw_IrvineFinch,404.42,394.66,Upper Sac R,"GCID_blw to 
Blw_IrvineFinch",404.42 to 394.66,2,10,20,39.79114,-122.036026,39.73146,-121.97483,Woodson,Juv_Green_Sturgeon_2016_2019
0.9518593,0.0271438,0.8609572,0.9844085,Blw_IrvineFinch,BlwOrd,394.66,361.72,Upper Sac R,"Blw_IrvineFinch to 
BlwOrd",394.66 to 361.72,3,20,17,39.73146,-121.97483,39.56548,-122.0018,Woodson,Juv_Green_Sturgeon_2016_2019
1,0,1,1,BlwOrd,ButteBr,361.72,344.1,Upper Sac R,"BlwOrd to 
ButteBr",361.72 to 344.1,4,17,15,39.56548,-122.0018,39.4569,-121.995,Woodson,Juv_Green_Sturgeon_2016_2019
