reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
ShanghaiBend,Daguerre_Dam_Rel,0.993,0.002,0.989,0.995,268.383,245.454,Feather_R,Daguerre_Dam_Rel to ShanghaiBend,268.383 to 245.454,39.209,-121.445,39.094635,-121.59285,2023-05-25_Daguerre_Dam_Rel,2023-05-25,209,151,1,1,Daguerre_Dam_Rel
BC_Beach,ShanghaiBend,0.988,0.002,0.984,0.991,245.454,217.314,Feather_R,ShanghaiBend to BC_Beach,245.454 to 217.314,39.094635,-121.59285,38.877506,-121.61404,2023-05-25_Daguerre_Dam_Rel,2023-05-25,151,123,1,2,Daguerre_Dam_Rel
FR_Verona_Upper,BC_Beach,0.994,0.003,0.982,0.998,217.314,207.894,Feather_R,BC_Beach to FR_Verona_Upper,217.314 to 207.894,38.877506,-121.61404,38.798393,-121.63363,2023-05-25_Daguerre_Dam_Rel,2023-05-25,123,97,1,3,Daguerre_Dam_Rel
TowerBridge,FR_Verona_Upper,0.993,0.001,0.99,0.996,207.894,172,Lower Sac R,FR_Verona_Upper to TowerBridge,207.894 to 172,38.798393,-121.63363,38.5802,-121.508,2023-05-25_Daguerre_Dam_Rel,2023-05-25,97,82,1,4,Daguerre_Dam_Rel
I80-50_Br,TowerBridge,1,0,1,1,172,170.748,Lower Sac R,TowerBridge to I80-50_Br,172 to 170.748,38.5802,-121.508,38.571133,-121.5164,2023-05-25_Daguerre_Dam_Rel,2023-05-25,82,83,1,5,Daguerre_Dam_Rel
SacTrawl,I80-50_Br,0.998,0.003,0.977,1,170.748,166.822,Lower Sac R,I80-50_Br to SacTrawl,170.748 to 166.822,38.571133,-121.5164,38.539519999999996,-121.51444000000001,2023-05-25_Daguerre_Dam_Rel,2023-05-25,83,67,1,6,Daguerre_Dam_Rel
Freeport,SacTrawl,1,0,1,1,166.822,152.231,Lower Sac R,SacTrawl to Freeport,166.822 to 152.231,38.539519999999996,-121.51444000000001,38.46467,-121.50501,2023-05-25_Daguerre_Dam_Rel,2023-05-25,67,93,1,7,Daguerre_Dam_Rel
Benicia,Freeport,0.992,0.001,0.99,0.994,152.231,52.144,Carquinez Strait,Freeport to Benicia,152.231 to 52.144,38.46467,-121.50501,38.0423015,-122.1236,2023-05-25_Daguerre_Dam_Rel,2023-05-25,93,42,1,8,Daguerre_Dam_Rel
GoldenGateE,Benicia,0.993,0.002,0.987,0.996,52.144,1.71,SF Bay,Benicia to GoldenGateE,52.144 to 1.71,38.0423015,-122.1236,37.82794,-122.46168,2023-05-25_Daguerre_Dam_Rel,2023-05-25,42,26,1,9,Daguerre_Dam_Rel
ShanghaiBend,Englebright_Dam_Rel,0.992,0.001,0.99,0.994,288.253,245.454,Feather_R,Englebright_Dam_Rel to ShanghaiBend,288.253 to 245.454,39.236,-121.273,39.094635,-121.59285,2023-05-25_Englebright_Dam_Rel,2023-05-25,210,124,2,1,Englebright_Dam_Rel
BC_Beach,ShanghaiBend,0.988,0.002,0.983,0.991,245.454,217.314,Feather_R,ShanghaiBend to BC_Beach,245.454 to 217.314,39.094635,-121.59285,38.877506,-121.61404,2023-05-25_Englebright_Dam_Rel,2023-05-25,124,101,2,2,Englebright_Dam_Rel
FR_Verona_Upper,BC_Beach,0.995,0.003,0.982,0.999,217.314,207.894,Feather_R,BC_Beach to FR_Verona_Upper,217.314 to 207.894,38.877506,-121.61404,38.798393,-121.63363,2023-05-25_Englebright_Dam_Rel,2023-05-25,101,81,2,3,Englebright_Dam_Rel
TowerBridge,FR_Verona_Upper,0.995,0.001,0.991,0.997,207.894,172,Lower Sac R,FR_Verona_Upper to TowerBridge,207.894 to 172,38.798393,-121.63363,38.5802,-121.508,2023-05-25_Englebright_Dam_Rel,2023-05-25,81,69,2,4,Englebright_Dam_Rel
I80-50_Br,TowerBridge,1,0,1,1,172,170.748,Lower Sac R,TowerBridge to I80-50_Br,172 to 170.748,38.5802,-121.508,38.571133,-121.5164,2023-05-25_Englebright_Dam_Rel,2023-05-25,69,64,2,5,Englebright_Dam_Rel
SacTrawl,I80-50_Br,1,0,1,1,170.748,166.822,Lower Sac R,I80-50_Br to SacTrawl,170.748 to 166.822,38.571133,-121.5164,38.539519999999996,-121.51444000000001,2023-05-25_Englebright_Dam_Rel,2023-05-25,64,60,2,6,Englebright_Dam_Rel
Freeport,SacTrawl,1,0.001,0.978,1,166.822,152.231,Lower Sac R,SacTrawl to Freeport,166.822 to 152.231,38.539519999999996,-121.51444000000001,38.46467,-121.50501,2023-05-25_Englebright_Dam_Rel,2023-05-25,60,82,2,7,Englebright_Dam_Rel
Benicia,Freeport,0.991,0.001,0.988,0.993,152.231,52.144,Carquinez Strait,Freeport to Benicia,152.231 to 52.144,38.46467,-121.50501,38.0423015,-122.1236,2023-05-25_Englebright_Dam_Rel,2023-05-25,82,33,2,8,Englebright_Dam_Rel
GoldenGateE,Benicia,0.993,0.002,0.987,0.997,52.144,1.71,SF Bay,Benicia to GoldenGateE,52.144 to 1.71,38.0423015,-122.1236,37.82794,-122.46168,2023-05-25_Englebright_Dam_Rel,2023-05-25,33,19,2,9,Englebright_Dam_Rel
