estimate,se,lcl,ucl,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,group,reach_num,mean_rel_date,release_site
0.743,0.092,0.53,0.881,MillCk_RST_Rel,MillCk2,450.7,444.47,Mill Ck,MillCk_RST_Rel to MillCk2,450.7 to 444.47,35,28,40.05479,-122.032104,40.046066,-122.09443,2014-05-01_MillCk_RST_Rel,1,1,2014-05-01,MillCk_RST_Rel
0.799,0.133,0.44,0.952,MillCk2,Mill_Ck_Conf,444.47,441.31,Upper Sac R,MillCk2 to Mill_Ck_Conf,444.47 to 441.31,28,26,40.046066,-122.09443,40.0327,-122.11987,2014-05-01_MillCk_RST_Rel,1,2,2014-05-01,MillCk_RST_Rel
0.952,0.033,0.826,0.988,Mill_Ck_Conf,Abv_WoodsonBr,441.31,425.15,Upper Sac R,Mill_Ck_Conf to Abv_WoodsonBr,441.31 to 425.15,26,25,40.0327,-122.11987,39.920094,-122.08446000000001,2014-05-01_MillCk_RST_Rel,1,3,2014-05-01,MillCk_RST_Rel
0.881,0.04,0.779,0.94,Abv_WoodsonBr,Blw_IrvineFinch,425.15,394.66,Upper Sac R,Abv_WoodsonBr to Blw_IrvineFinch,425.15 to 394.66,25,17,39.920094,-122.08446000000001,39.73146,-121.97483,2014-05-01_MillCk_RST_Rel,1,4,2014-05-01,MillCk_RST_Rel
0.824,0.057,0.684,0.911,Blw_IrvineFinch,BlwOrd,394.66,361.72,Upper Sac R,Blw_IrvineFinch to BlwOrd,394.66 to 361.72,17,9,39.73146,-121.97483,39.56548,-122.0018,2014-05-01_MillCk_RST_Rel,1,5,2014-05-01,MillCk_RST_Rel
0.898,0.068,0.671,0.975,BlwOrd,BlwButteBr,361.72,338.28,Lower Sac R,BlwOrd to BlwButteBr,361.72 to 338.28,9,7,39.56548,-122.0018,39.41913,-122.00943,2014-05-01_MillCk_RST_Rel,1,6,2014-05-01,MillCk_RST_Rel
0.758,0.108,0.496,0.909,BlwButteBr,AbvColusaBr,338.28,307.73,Lower Sac R,BlwButteBr to AbvColusaBr,338.28 to 307.73,7,3,39.41913,-122.00943,39.2205,-122.00847,2014-05-01_MillCk_RST_Rel,1,7,2014-05-01,MillCk_RST_Rel
0.752,0.159,0.362,0.942,AbvColusaBr,AbvTisdale,307.73,269.23,Lower Sac R,AbvColusaBr to AbvTisdale,307.73 to 269.23,3,1,39.2205,-122.00847,39.0364,-121.82918,2014-05-01_MillCk_RST_Rel,1,8,2014-05-01,MillCk_RST_Rel
1,0,1,1,AbvTisdale,BlwChinaBend,269.23,240.61,Lower Sac R,AbvTisdale to BlwChinaBend,269.23 to 240.61,1,1,39.0364,-121.82918,38.88406,-121.81713,2014-05-01_MillCk_RST_Rel,1,9,2014-05-01,MillCk_RST_Rel
1,0,1,1,BlwChinaBend,KnightsLanding,240.61,224.06,Lower Sac R,BlwChinaBend to KnightsLanding,240.61 to 224.06,1,1,38.88406,-121.81713,38.82341,-121.72388,2014-05-01_MillCk_RST_Rel,1,10,2014-05-01,MillCk_RST_Rel
