estimate,se,lcl,ucl,CI,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,group,reach_num,mean_rel_date,release_site
0.798,0.078,0.604,0.911,0.294176,MillCk_RST_Rel,Mill_Ck_Conf,450.7,441.31,Upper Sac R,MillCk_RST_Rel to Mill_Ck_Conf,450.7 to 441.31,30,19,40.05479,-122.032104,40.0327,-122.11987,2017-05-22_MillCk_RST_Rel,1,1,2017-05-22,MillCk_RST_Rel
0.967,0.032,0.8,0.995,0.28650809999999993,Mill_Ck_Conf,Abv_WoodsonBr,441.31,425.15,Upper Sac R,Mill_Ck_Conf to Abv_WoodsonBr,441.31 to 425.15,19,20,40.0327,-122.11987,39.920094,-122.08446000000001,2017-05-22_MillCk_RST_Rel,1,2,2017-05-22,MillCk_RST_Rel
1,0,1,1,1.8400000000085015e-5,Abv_WoodsonBr,GCID,425.15,404.42,Upper Sac R,Abv_WoodsonBr to GCID,425.15 to 404.42,20,23,39.920094,-122.08446000000001,39.79114,-122.036026,2017-05-22_MillCk_RST_Rel,1,3,2017-05-22,MillCk_RST_Rel
0.911,0.06,0.706,0.978,0.2670125,GCID,Blw_IrvineFinch,404.42,394.66,Upper Sac R,GCID to Blw_IrvineFinch,404.42 to 394.66,23,21,39.79114,-122.036026,39.73146,-121.97483,2017-05-22_MillCk_RST_Rel,1,4,2017-05-22,MillCk_RST_Rel
0.97,0.021,0.888,0.993,0.28732689999999994,Blw_IrvineFinch,BlwOrd,394.66,361.72,Upper Sac R,Blw_IrvineFinch to BlwOrd,394.66 to 361.72,21,19,39.73146,-121.97483,39.56548,-122.0018,2017-05-22_MillCk_RST_Rel,1,5,2017-05-22,MillCk_RST_Rel
0.974,0.03,0.783,0.997,0.3306112,BlwOrd,ButteBr,361.72,344.1,Lower Sac R,BlwOrd to ButteBr,361.72 to 344.1,19,17,39.56548,-122.0018,39.4569,-121.995,2017-05-22_MillCk_RST_Rel,1,6,2017-05-22,MillCk_RST_Rel
0.908,0.062,0.697,0.977,0.3387228,ButteBr,Colusa AC3,344.1,331.15,Lower Sac R,ButteBr to Colusa AC3,344.1 to 331.15,17,16,39.4569,-121.995,39.359877499999996,-122.01365999999999,2017-05-22_MillCk_RST_Rel,1,7,2017-05-22,MillCk_RST_Rel
1,0,1,1,2.7999999999694936e-6,Colusa AC3,Colusa AC2,331.15,318.61,Lower Sac R,Colusa AC3 to Colusa AC2,331.15 to 318.61,16,16,39.359877499999996,-122.01365999999999,39.28007,-122.01891,2017-05-22_MillCk_RST_Rel,1,8,2017-05-22,MillCk_RST_Rel
1,0,1,1,1.1999999999234845e-6,Colusa AC2,Colusa BC2,318.61,296.27,Lower Sac R,Colusa AC2 to Colusa BC2,318.61 to 296.27,16,16,39.28007,-122.01891,39.184963,-121.943214,2017-05-22_MillCk_RST_Rel,1,9,2017-05-22,MillCk_RST_Rel
1,0,1,1,1.1999999999234845e-6,Colusa BC2,Colusa BC3,296.27,287.2,Lower Sac R,Colusa BC2 to Colusa BC3,296.27 to 287.2,16,14,39.184963,-121.943214,39.13132,-121.936554,2017-05-22_MillCk_RST_Rel,1,10,2017-05-22,MillCk_RST_Rel
0.928,0.049,0.755,0.982,0.35452269999999997,Colusa BC3,AbvTisdale,287.2,269.23,Lower Sac R,Colusa BC3 to AbvTisdale,287.2 to 269.23,14,14,39.13132,-121.936554,39.0364,-121.82918,2017-05-22_MillCk_RST_Rel,1,11,2017-05-22,MillCk_RST_Rel
0.984,0.015,0.898,0.998,0.36033040000000005,AbvTisdale,Knights_RST,269.23,222.05,Lower Sac R,AbvTisdale to Knights_RST,269.23 to 222.05,14,13,39.0364,-121.82918,38.79248,-121.69087,2017-05-22_MillCk_RST_Rel,1,12,2017-05-22,MillCk_RST_Rel
1,0,1,1,5.999999999062311e-7,Knights_RST,TowerBridge,222.05,172,Lower Sac R,Knights_RST to TowerBridge,222.05 to 172,13,12,38.79248,-121.69087,38.5802,-121.508,2017-05-22_MillCk_RST_Rel,1,13,2017-05-22,MillCk_RST_Rel
1,0,1,1,2.0000000000575113e-7,TowerBridge,SacTrawl,172,166.815,Lower Sac R,TowerBridge to SacTrawl,172 to 166.815,12,12,38.5802,-121.508,38.539519999999996,-121.51444000000001,2017-05-22_MillCk_RST_Rel,1,14,2017-05-22,MillCk_RST_Rel
0.973,0.016,0.919,0.991,0.44528529999999994,SacTrawl,Chipps,166.815,71.47999999999999,West Delta,SacTrawl to Chipps,166.815 to 71.48,12,9,38.539519999999996,-121.51444000000001,38.046132,-121.912643,2017-05-22_MillCk_RST_Rel,1,15,2017-05-22,MillCk_RST_Rel
1,0,1,1,2.0399999999920482e-5,Chipps,Benicia,71.47999999999999,52.04,Carquinez Strait,Chipps to Benicia,71.48 to 52.04,9,10,38.046132,-121.912643,38.041233,-122.12382,2017-05-22_MillCk_RST_Rel,1,16,2017-05-22,MillCk_RST_Rel
0.957,0.03,0.842,0.989,0.4903037,Benicia,GoldenGateE,52.04,1.71,SF Bay,Benicia to GoldenGateE,52.04 to 1.71,10,8,38.041233,-122.12382,37.82794,-122.46168,2017-05-22_MillCk_RST_Rel,1,17,2017-05-22,MillCk_RST_Rel
