estimate,se,lcl,ucl,CI,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,group,reach_num,mean_rel_date,release_site
0.801,0.097,0.551,0.93,0.363792,MillCk_RST_Rel,Mill_Ck_Conf,450.703,441.318,Upper Sac R,MillCk_RST_Rel to Mill_Ck_Conf,450.703 to 441.318,20,13,40.05479,-122.032104,40.0327,-122.11987,2019-04-29_MillCk_RST_Rel,1,1,2019-04-29,MillCk_RST_Rel
0.952,0.047,0.725,0.993,0.37992289999999995,Mill_Ck_Conf,Abv_WoodsonBr,441.318,425.158,Upper Sac R,Mill_Ck_Conf to Abv_WoodsonBr,441.318 to 425.158,13,14,40.0327,-122.11987,39.920094,-122.08446000000001,2019-04-29_MillCk_RST_Rel,1,2,2019-04-29,MillCk_RST_Rel
1,0,1,1,0,Abv_WoodsonBr,GCID,425.158,405.273,Upper Sac R,Abv_WoodsonBr to GCID,425.158 to 405.273,14,14,39.920094,-122.08446000000001,39.798953499999996,-122.04724300000001,2019-04-29_MillCk_RST_Rel,1,3,2019-04-29,MillCk_RST_Rel
1,0,1,1,8.000000000230045e-7,GCID,Blw_IrvineFinch,405.273,394.668,Upper Sac R,GCID to Blw_IrvineFinch,405.273 to 394.668,14,14,39.798953499999996,-122.04724300000001,39.73146,-121.97483,2019-04-29_MillCk_RST_Rel,1,4,2019-04-29,MillCk_RST_Rel
0.979,0.021,0.867,0.997,0.34275869999999997,Blw_IrvineFinch,BlwOrd,394.668,361.728,Upper Sac R,Blw_IrvineFinch to BlwOrd,394.668 to 361.728,14,11,39.73146,-121.97483,39.56548,-122.0018,2019-04-29_MillCk_RST_Rel,1,5,2019-04-29,MillCk_RST_Rel
1,0,1,1,0,BlwOrd,ButteBr,361.728,344.108,Lower Sac R,BlwOrd to ButteBr,361.728 to 344.108,11,13,39.56548,-122.0018,39.4569,-121.995,2019-04-29_MillCk_RST_Rel,1,6,2019-04-29,MillCk_RST_Rel
1,0,1,1,0,ButteBr,Colusa AC3,344.108,331.158,Lower Sac R,ButteBr to Colusa AC3,344.108 to 331.158,13,14,39.4569,-121.995,39.36038,-122.01373,2019-04-29_MillCk_RST_Rel,1,7,2019-04-29,MillCk_RST_Rel
0.991,0.005,0.972,0.997,0.42363039999999996,Colusa AC3,Chipps,331.158,71.48599999999999,West Delta,Colusa AC3 to Chipps,331.158 to 71.486,14,10,39.36038,-122.01373,38.046132,-121.912643,2019-04-29_MillCk_RST_Rel,1,8,2019-04-29,MillCk_RST_Rel
1,0,1,1,0,Chipps,Benicia,71.48599999999999,52.144000000000005,Carquinez Strait,Chipps to Benicia,71.486 to 52.144,10,11,38.046132,-121.912643,38.0423015,-122.1236,2019-04-29_MillCk_RST_Rel,1,9,2019-04-29,MillCk_RST_Rel
0.981,0.019,0.879,0.997,0.42594280000000007,Benicia,GoldenGateE,52.144000000000005,1.71,SF Bay,Benicia to GoldenGateE,52.144 to 1.71,11,5,38.0423015,-122.1236,37.82794,-122.46168,2019-04-29_MillCk_RST_Rel,1,10,2019-04-29,MillCk_RST_Rel
