reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
Mill_Ck_Conf,MillCk_RST_Rel,0.968,0.008,0.948,0.981,450.703,441.318,Upper Sac R,MillCk_RST_Rel to Mill_Ck_Conf,450.703 to 441.318,40.05479,-122.032104,40.0327,-122.11987,2020-04-19_MillCk_RST_Rel,2020-04-19,62,42,1,1,MillCk_RST_Rel
Abv_WoodsonBr,Mill_Ck_Conf,0.984,0.005,0.97,0.991,441.318,425.158,Upper Sac R,Mill_Ck_Conf to Abv_WoodsonBr,441.318 to 425.158,40.0327,-122.11987,39.920094,-122.08446000000001,2020-04-19_MillCk_RST_Rel,2020-04-19,42,34,1,2,MillCk_RST_Rel
GCID,Abv_WoodsonBr,0.992,0.003,0.981,0.997,425.158,404.941,Upper Sac R,Abv_WoodsonBr to GCID,425.158 to 404.941,39.920094,-122.08446000000001,39.796839,-122.049394,2020-04-19_MillCk_RST_Rel,2020-04-19,34,30,1,3,MillCk_RST_Rel
Blw_IrvineFinch,GCID,0.986,0.007,0.964,0.995,404.941,394.668,Upper Sac R,GCID to Blw_IrvineFinch,404.941 to 394.668,39.796839,-122.049394,39.73146,-121.97483,2020-04-19_MillCk_RST_Rel,2020-04-19,30,26,1,4,MillCk_RST_Rel
Ord,Blw_IrvineFinch,0.993,0.004,0.981,0.997,394.668,371.658,Upper Sac R,Blw_IrvineFinch to Ord,394.668 to 371.658,39.73146,-121.97483,39.63447,-121.98959,2020-04-19_MillCk_RST_Rel,2020-04-19,26,22,1,5,MillCk_RST_Rel
BlwOrd,Ord,0.996,0.005,0.963,1,371.658,361.728,Upper Sac R,Ord to BlwOrd,371.658 to 361.728,39.63447,-121.98959,39.56548,-122.0018,2020-04-19_MillCk_RST_Rel,2020-04-19,22,20,1,6,MillCk_RST_Rel
Colusa AC3,BlwOrd,0.997,0.002,0.986,0.999,361.728,331.158,Lower Sac R,BlwOrd to Colusa AC3,361.728 to 331.158,39.56548,-122.0018,39.36038,-122.01373,2020-04-19_MillCk_RST_Rel,2020-04-19,20,17,1,7,MillCk_RST_Rel
Colusa AC2,Colusa AC3,1,0,1,1,331.158,318.618,Lower Sac R,Colusa AC3 to Colusa AC2,331.158 to 318.618,39.36038,-122.01373,39.28007,-122.01891,2020-04-19_MillCk_RST_Rel,2020-04-19,17,17,1,8,MillCk_RST_Rel
Colusa BC4,Colusa AC2,0.999,0.001,0.989,1,318.618,280.4,Lower Sac R,Colusa AC2 to Colusa BC4,318.618 to 280.4,39.28007,-122.01891,39.09362,-121.89405,2020-04-19_MillCk_RST_Rel,2020-04-19,17,17,1,9,MillCk_RST_Rel
AbvTisdale,Colusa BC4,0.995,0.005,0.963,0.999,280.4,269.238,Lower Sac R,Colusa BC4 to AbvTisdale,280.4 to 269.238,39.09362,-121.89405,39.0364,-121.82918,2020-04-19_MillCk_RST_Rel,2020-04-19,17,15,1,10,MillCk_RST_Rel
BlwTisdale,AbvTisdale,1,0,1,1,269.238,261.408,Lower Sac R,AbvTisdale to BlwTisdale,269.238 to 261.408,39.0364,-121.82918,38.98941,-121.80463,2020-04-19_MillCk_RST_Rel,2020-04-19,15,15,1,11,MillCk_RST_Rel
BlwChinaBend,BlwTisdale,1,0,1,1,261.408,240.618,Lower Sac R,BlwTisdale to BlwChinaBend,261.408 to 240.618,38.98941,-121.80463,38.88406,-121.81713,2020-04-19_MillCk_RST_Rel,2020-04-19,15,12,1,12,MillCk_RST_Rel
Knights_RST,BlwChinaBend,1,0,1,1,240.618,222.05,Lower Sac R,BlwChinaBend to Knights_RST,240.618 to 222.05,38.88406,-121.81713,38.79248,-121.69087,2020-04-19_MillCk_RST_Rel,2020-04-19,12,15,1,13,MillCk_RST_Rel
KnightsBlwRST,Knights_RST,1,0,1,1,222.05,221.58,Lower Sac R,Knights_RST to KnightsBlwRST,222.05 to 221.58,38.79248,-121.69087,38.78877,-121.694,2020-04-19_MillCk_RST_Rel,2020-04-19,15,16,1,14,MillCk_RST_Rel
Blw_FremontWeir,KnightsBlwRST,1,0,1,1,221.58,210.36,Lower Sac R,KnightsBlwRST to Blw_FremontWeir,221.58 to 210.36,38.78877,-121.694,38.77015,-121.6322,2020-04-19_MillCk_RST_Rel,2020-04-19,16,13,1,15,MillCk_RST_Rel
Blw_FRConf,Blw_FremontWeir,1,0,1,1,210.36,203.468,Lower Sac R,Blw_FremontWeir to Blw_FRConf,210.36 to 203.468,38.77015,-121.6322,38.77409,-121.60043,2020-04-19_MillCk_RST_Rel,2020-04-19,13,17,1,16,MillCk_RST_Rel
Blw_FR_GS2,Blw_FRConf,1,0,1,1,203.468,199,Lower Sac R,Blw_FRConf to Blw_FR_GS2,203.468 to 199,38.77409,-121.60043,38.73505,-121.60267,2020-04-19_MillCk_RST_Rel,2020-04-19,17,12,1,17,MillCk_RST_Rel
Blw_Elkhorn_GS1,Blw_FR_GS2,0.991,0.008,0.942,0.999,199,191.92,Lower Sac R,Blw_FR_GS2 to Blw_Elkhorn_GS1,199 to 191.92,38.73505,-121.60267,38.64737,-121.57771,2020-04-19_MillCk_RST_Rel,2020-04-19,12,16,1,18,MillCk_RST_Rel
TowerBridge,Blw_Elkhorn_GS1,1,0,1,1,191.92,172,Lower Sac R,Blw_Elkhorn_GS1 to TowerBridge,191.92 to 172,38.64737,-121.57771,38.5802,-121.508,2020-04-19_MillCk_RST_Rel,2020-04-19,16,16,1,19,MillCk_RST_Rel
I80-50_Br,TowerBridge,1,0,1,1,172,170.748,Lower Sac R,TowerBridge to I80-50_Br,172 to 170.748,38.5802,-121.508,38.571133,-121.5164,2020-04-19_MillCk_RST_Rel,2020-04-19,16,16,1,20,MillCk_RST_Rel
Benicia,I80-50_Br,0.998,0.001,0.994,0.999,170.748,52.144,Carquinez Strait,I80-50_Br to Benicia,170.748 to 52.144,38.571133,-121.5164,38.0423015,-122.1236,2020-04-19_MillCk_RST_Rel,2020-04-19,16,12,1,21,MillCk_RST_Rel
GoldenGateE,Benicia,0.996,0.004,0.978,0.999,52.144,1.71,SF Bay,Benicia to GoldenGateE,52.144 to 1.71,38.0423015,-122.1236,37.82794,-122.46168,2020-04-19_MillCk_RST_Rel,2020-04-19,12,6,1,22,MillCk_RST_Rel
Mill_Ck_Conf,MillCk_RST_Rel,0.919,0.037,0.813,0.968,450.703,441.318,Upper Sac R,MillCk_RST_Rel to Mill_Ck_Conf,450.703 to 441.318,40.05479,-122.032104,40.0327,-122.11987,2020-05-19_MillCk_RST_Rel,2020-05-19,9,4,2,1,MillCk_RST_Rel
