estimate,se,lcl,ucl,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,group,reach_num,mean_rel_date,release_site
0.688,0.094,0.482,0.839,MillCk_RST_Rel,Abv_WoodsonBr,450.703,425.158,Upper Sac R,MillCk_RST_Rel to Abv_WoodsonBr,450.703 to 425.158,13,4,40.05479,-122.032104,39.920094,-122.08446000000001,2022-05-15_MillCk_RST_Rel,1,1,2022-05-15,MillCk_RST_Rel
1,0,1,1,Abv_WoodsonBr,Abv_Otter_Island,425.158,419.398,Upper Sac R,Abv_WoodsonBr to Abv_Otter_Island,425.158 to 419.398,4,5,39.920094,-122.08446000000001,39.882027,-122.064445,2022-05-15_MillCk_RST_Rel,1,2,2022-05-15,MillCk_RST_Rel
0.825,0.095,0.566,0.945,Abv_Otter_Island,Ord,419.398,371.658,Upper Sac R,Abv_Otter_Island to Ord,419.398 to 371.658,5,2,39.882027,-122.064445,39.63447,-121.98959,2022-05-15_MillCk_RST_Rel,1,3,2022-05-15,MillCk_RST_Rel
1,0,1,1,Ord,BlwOrd,371.658,361.728,Upper Sac R,Ord to BlwOrd,371.658 to 361.728,2,2,39.63447,-121.98959,39.56548,-122.0018,2022-05-15_MillCk_RST_Rel,1,4,2022-05-15,MillCk_RST_Rel
0.797,0.184,0.296,0.973,BlwOrd,Colusa AC3,361.728,331.158,Lower Sac R,BlwOrd to Colusa AC3,361.728 to 331.158,2,1,39.56548,-122.0018,39.36038,-122.01373,2022-05-15_MillCk_RST_Rel,1,5,2022-05-15,MillCk_RST_Rel
1,0,1,1,Colusa AC3,Colusa AC2,331.158,318.618,Lower Sac R,Colusa AC3 to Colusa AC2,331.158 to 318.618,1,1,39.36038,-122.01373,39.28007,-122.01891,2022-05-15_MillCk_RST_Rel,1,6,2022-05-15,MillCk_RST_Rel
1,0,1,1,Colusa AC2,AbvColusaBr,318.618,307.738,Lower Sac R,Colusa AC2 to AbvColusaBr,318.618 to 307.738,1,1,39.28007,-122.01891,39.2205,-122.00847,2022-05-15_MillCk_RST_Rel,1,7,2022-05-15,MillCk_RST_Rel
1,0,1,1,AbvColusaBr,Colusa BC2,307.738,296.278,Lower Sac R,AbvColusaBr to Colusa BC2,307.738 to 296.278,1,1,39.2205,-122.00847,39.184963,-121.943214,2022-05-15_MillCk_RST_Rel,1,8,2022-05-15,MillCk_RST_Rel
1,0,1,1,Colusa BC2,MeridanBr,296.278,290.848,Lower Sac R,Colusa BC2 to MeridanBr,296.278 to 290.848,1,1,39.184963,-121.943214,39.145542,-121.917984,2022-05-15_MillCk_RST_Rel,1,9,2022-05-15,MillCk_RST_Rel
1,0,1,1,MeridanBr,Colusa BC3,290.848,287.208,Lower Sac R,MeridanBr to Colusa BC3,290.848 to 287.208,1,1,39.145542,-121.917984,39.13132,-121.936554,2022-05-15_MillCk_RST_Rel,1,10,2022-05-15,MillCk_RST_Rel
1,0,1,1,Colusa BC3,AbvTisdale,287.208,269.238,Lower Sac R,Colusa BC3 to AbvTisdale,287.208 to 269.238,1,1,39.13132,-121.936554,39.0364,-121.82918,2022-05-15_MillCk_RST_Rel,1,11,2022-05-15,MillCk_RST_Rel
1,0,1,1,AbvTisdale,Knights_RST,269.238,222.05,Lower Sac R,AbvTisdale to Knights_RST,269.238 to 222.05,1,1,39.0364,-121.82918,38.79248,-121.69087,2022-05-15_MillCk_RST_Rel,1,12,2022-05-15,MillCk_RST_Rel
1,0,1,1,Knights_RST,KnightsBlwRST,222.05,221.58,Lower Sac R,Knights_RST to KnightsBlwRST,222.05 to 221.58,1,1,38.79248,-121.69087,38.78877,-121.694,2022-05-15_MillCk_RST_Rel,1,13,2022-05-15,MillCk_RST_Rel
1,0,1,1,KnightsBlwRST,Abv_FremontWeir,221.58,215.18,Lower Sac R,KnightsBlwRST to Abv_FremontWeir,221.58 to 215.18,1,1,38.78877,-121.694,38.76009,-121.67145,2022-05-15_MillCk_RST_Rel,1,14,2022-05-15,MillCk_RST_Rel
1,0,1,1,Abv_FremontWeir,Blw_Knights_GS3,215.18,212.8,Lower Sac R,Abv_FremontWeir to Blw_Knights_GS3,215.18 to 212.8,1,1,38.76009,-121.67145,38.75972,-121.67329,2022-05-15_MillCk_RST_Rel,1,15,2022-05-15,MillCk_RST_Rel
1,0,1,1,Blw_Knights_GS3,Blw_FremontWeir,212.8,210.36,Lower Sac R,Blw_Knights_GS3 to Blw_FremontWeir,212.8 to 210.36,1,1,38.75972,-121.67329,38.77015,-121.6322,2022-05-15_MillCk_RST_Rel,1,16,2022-05-15,MillCk_RST_Rel
1,0,1,1,Blw_FremontWeir,SacFeather,210.36,205.76,Lower Sac R,Blw_FremontWeir to SacFeather,210.36 to 205.76,1,1,38.77015,-121.6322,38.785244,-121.62445,2022-05-15_MillCk_RST_Rel,1,17,2022-05-15,MillCk_RST_Rel
1,0,1,1,SacFeather,Blw_FRConf,205.76,203.468,Lower Sac R,SacFeather to Blw_FRConf,205.76 to 203.468,1,1,38.785244,-121.62445,38.77409,-121.60043,2022-05-15_MillCk_RST_Rel,1,18,2022-05-15,MillCk_RST_Rel
