reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
Mok_Cosumnes,Abv_CRC_Rel,0.909,0.038,0.803,0.96,146.962,146.642,Lower Mok R,Abv_CRC_Rel to Mok_Cosumnes,146.962 to 146.642,38.252293,-121.42802,38.2549,-121.429535,2023-04-21_Abv_CRC_Rel,2023-04-21,204,149,1,6,Abv_CRC_Rel
Mok_I5_Bridge,Mok_Cosumnes,0.99,0.004,0.977,0.995,146.642,142.69,Lower Mok R,Mok_Cosumnes to Mok_I5_Bridge,146.642 to 142.69,38.2549,-121.429535,38.25932,-121.464615,2023-04-21_Abv_CRC_Rel,2023-04-21,149,189,1,7,Abv_CRC_Rel
Benicia,Mok_I5_Bridge,0.982,0.002,0.978,0.985,142.69,52.144,Carquinez Strait,Mok_I5_Bridge to Benicia,142.69 to 52.144,38.25932,-121.464615,38.0423015,-122.1236,2023-04-21_Abv_CRC_Rel,2023-04-21,189,36,1,8,Abv_CRC_Rel
GoldenGateE,Benicia,0.998,0.001,0.993,0.999,52.144,1.71,SF Bay,Benicia to GoldenGateE,52.144 to 1.71,38.0423015,-122.1236,37.82794,-122.46168,2023-04-21_Abv_CRC_Rel,2023-04-21,36,23,1,9,Abv_CRC_Rel
Mok_Cosumnes,Mok_WB_WildArea_Rel,0.981,0.003,0.975,0.986,168.392,146.642,Lower Mok R,Mok_WB_WildArea_Rel to Mok_Cosumnes,168.392 to 146.642,38.161175,-121.31219,38.2549,-121.429535,2023-04-19_Mok_WB_WildArea_Rel,2023-04-19,128,77,2,6,Mok_WB_WildArea_Rel
Mok_I5_Bridge,Mok_Cosumnes,0.994,0.005,0.97,0.999,146.642,142.69,Lower Mok R,Mok_Cosumnes to Mok_I5_Bridge,146.642 to 142.69,38.2549,-121.429535,38.25932,-121.464615,2023-04-19_Mok_WB_WildArea_Rel,2023-04-19,77,82,2,7,Mok_WB_WildArea_Rel
Benicia,Mok_I5_Bridge,0.987,0.002,0.983,0.99,142.69,52.144,Carquinez Strait,Mok_I5_Bridge to Benicia,142.69 to 52.144,38.25932,-121.464615,38.0423015,-122.1236,2023-04-19_Mok_WB_WildArea_Rel,2023-04-19,82,25,2,8,Mok_WB_WildArea_Rel
GoldenGateE,Benicia,0.995,0.002,0.988,0.998,52.144,1.71,SF Bay,Benicia to GoldenGateE,52.144 to 1.71,38.0423015,-122.1236,37.82794,-122.46168,2023-04-19_Mok_WB_WildArea_Rel,2023-04-19,25,15,2,9,Mok_WB_WildArea_Rel
Mok_Vino,Mok_Vino_Rel,0.951,0.035,0.817,0.988,194.1,193.8,Lower Mok R,Mok_Vino_Rel to Mok_Vino,194.1 to 193.8,38.17641,-121.1543,38.177,-121.15713,2023-04-19_Mok_Vino_Rel,2023-04-19,130,128,3,1,Mok_Vino_Rel
Mok_Bruella_Road Bridge,Mok_Vino,0.997,0.002,0.991,0.999,193.8,185.53,Lower Mok R,Mok_Vino to Mok_Bruella_Road Bridge,193.8 to 185.53,38.177,-121.15713,38.158844,-121.20416,2023-04-19_Mok_Vino_Rel,2023-04-19,128,117,3,2,Mok_Vino_Rel
Mok_Highway_99,Mok_Bruella_Road Bridge,0.995,0.002,0.988,0.998,185.53,178.09,Lower Mok R,Mok_Bruella_Road Bridge to Mok_Highway_99,185.53 to 178.09,38.158844,-121.20416,38.150185,-121.24841,2023-04-19_Mok_Vino_Rel,2023-04-19,117,108,3,3,Mok_Vino_Rel
Mok_Above_WIDD,Mok_Highway_99,1,0,1,1,178.09,170.27,Lower Mok R,Mok_Highway_99 to Mok_Above_WIDD,178.09 to 170.27,38.150185,-121.24841,38.154774,-121.29861,2023-04-19_Mok_Vino_Rel,2023-04-19,108,107,3,4,Mok_Vino_Rel
Mok_Below_WIDD,Mok_Above_WIDD,0.919,0.027,0.848,0.958,170.27,169.38,Lower Mok R,Mok_Above_WIDD to Mok_Below_WIDD,170.27 to 169.38,38.154774,-121.29861,38.158455,-121.302734,2023-04-19_Mok_Vino_Rel,2023-04-19,107,111,3,5,Mok_Vino_Rel
Mok_Cosumnes,Mok_Below_WIDD,0.992,0.002,0.988,0.995,169.38,146.642,Lower Mok R,Mok_Below_WIDD to Mok_Cosumnes,169.38 to 146.642,38.158455,-121.302734,38.2549,-121.429535,2023-04-19_Mok_Vino_Rel,2023-04-19,111,88,3,6,Mok_Vino_Rel
Mok_I5_Bridge,Mok_Cosumnes,0.998,0.003,0.949,1,146.642,142.69,Lower Mok R,Mok_Cosumnes to Mok_I5_Bridge,146.642 to 142.69,38.2549,-121.429535,38.25932,-121.464615,2023-04-19_Mok_Vino_Rel,2023-04-19,88,93,3,7,Mok_Vino_Rel
Benicia,Mok_I5_Bridge,0.986,0.002,0.981,0.989,142.69,52.144,Carquinez Strait,Mok_I5_Bridge to Benicia,142.69 to 52.144,38.25932,-121.464615,38.0423015,-122.1236,2023-04-19_Mok_Vino_Rel,2023-04-19,93,25,3,8,Mok_Vino_Rel
GoldenGateE,Benicia,0.997,0.002,0.991,0.999,52.144,1.71,SF Bay,Benicia to GoldenGateE,52.144 to 1.71,38.0423015,-122.1236,37.82794,-122.46168,2023-04-19_Mok_Vino_Rel,2023-04-19,25,19,3,9,Mok_Vino_Rel
Mok_Cosumnes,Abv_CRC_Rel,0.976,0.021,0.872,0.996,146.962,146.642,Lower Mok R,Abv_CRC_Rel to Mok_Cosumnes,146.962 to 146.642,38.252293,-121.42802,38.2549,-121.429535,2023-05-05_Abv_CRC_Rel,2023-05-05,206,197,4,6,Abv_CRC_Rel
Mok_I5_Bridge,Mok_Cosumnes,0.996,0.003,0.983,0.999,146.642,142.69,Lower Mok R,Mok_Cosumnes to Mok_I5_Bridge,146.642 to 142.69,38.2549,-121.429535,38.25932,-121.464615,2023-05-05_Abv_CRC_Rel,2023-05-05,197,200,4,7,Abv_CRC_Rel
Benicia,Mok_I5_Bridge,0.98,0.002,0.976,0.983,142.69,52.144,Carquinez Strait,Mok_I5_Bridge to Benicia,142.69 to 52.144,38.25932,-121.464615,38.0423015,-122.1236,2023-05-05_Abv_CRC_Rel,2023-05-05,200,31,4,8,Abv_CRC_Rel
GoldenGateE,Benicia,0.995,0.002,0.988,0.998,52.144,1.71,SF Bay,Benicia to GoldenGateE,52.144 to 1.71,38.0423015,-122.1236,37.82794,-122.46168,2023-05-05_Abv_CRC_Rel,2023-05-05,31,20,4,9,Abv_CRC_Rel
Mok_Cosumnes,Mok_WB_WildArea_Rel,0.987,0.002,0.983,0.99,168.392,146.642,Lower Mok R,Mok_WB_WildArea_Rel to Mok_Cosumnes,168.392 to 146.642,38.161175,-121.31219,38.2549,-121.429535,2023-05-06_Mok_WB_WildArea_Rel,2023-05-06,217,161,5,6,Mok_WB_WildArea_Rel
Mok_I5_Bridge,Mok_Cosumnes,0.993,0.004,0.978,0.998,146.642,142.69,Lower Mok R,Mok_Cosumnes to Mok_I5_Bridge,146.642 to 142.69,38.2549,-121.429535,38.25932,-121.464615,2023-05-06_Mok_WB_WildArea_Rel,2023-05-06,161,159,5,7,Mok_WB_WildArea_Rel
Benicia,Mok_I5_Bridge,0.977,0.002,0.972,0.981,142.69,52.144,Carquinez Strait,Mok_I5_Bridge to Benicia,142.69 to 52.144,38.25932,-121.464615,38.0423015,-122.1236,2023-05-06_Mok_WB_WildArea_Rel,2023-05-06,159,20,5,8,Mok_WB_WildArea_Rel
GoldenGateE,Benicia,0.994,0.003,0.984,0.998,52.144,1.71,SF Bay,Benicia to GoldenGateE,52.144 to 1.71,38.0423015,-122.1236,37.82794,-122.46168,2023-05-06_Mok_WB_WildArea_Rel,2023-05-06,20,12,5,9,Mok_WB_WildArea_Rel
Mok_Vino,Mok_Vino_Rel,0.958,0.026,0.867,0.987,194.1,193.8,Lower Mok R,Mok_Vino_Rel to Mok_Vino,194.1 to 193.8,38.17641,-121.1543,38.177,-121.15713,2023-05-06_Mok_Vino_Rel,2023-05-06,217,206,6,1,Mok_Vino_Rel
Mok_Bruella_Road Bridge,Mok_Vino,0.995,0.002,0.991,0.998,193.8,185.53,Lower Mok R,Mok_Vino to Mok_Bruella_Road Bridge,193.8 to 185.53,38.177,-121.15713,38.158844,-121.20416,2023-05-06_Mok_Vino_Rel,2023-05-06,206,192,6,2,Mok_Vino_Rel
Mok_Highway_99,Mok_Bruella_Road Bridge,0.998,0.001,0.993,0.999,185.53,178.09,Lower Mok R,Mok_Bruella_Road Bridge to Mok_Highway_99,185.53 to 178.09,38.158844,-121.20416,38.150185,-121.24841,2023-05-06_Mok_Vino_Rel,2023-05-06,192,172,6,3,Mok_Vino_Rel
Mok_Above_WIDD,Mok_Highway_99,1,0.001,0.959,1,178.09,170.27,Lower Mok R,Mok_Highway_99 to Mok_Above_WIDD,178.09 to 170.27,38.150185,-121.24841,38.154774,-121.29861,2023-05-06_Mok_Vino_Rel,2023-05-06,172,186,6,4,Mok_Vino_Rel
