reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
AR_RanchoCordova,AR_Sunrise_Ramp_Rel,0.991,0.003,0.982,0.995,206.04,199.37,Amer R,AR_Sunrise_Ramp_Rel to AR_RanchoCordova,206.04 to 199.37,38.63634,-121.26424,38.61468,-121.30276,2017-05-24_AR_Sunrise_Ramp_Rel,2017-05-24,146,137,1,1,AR_Sunrise_Ramp_Rel
AR_Downstream_WattAve,AR_RanchoCordova,0.995,0.002,0.989,0.997,199.37,188.07,Amer R,AR_RanchoCordova to AR_Downstream_WattAve,199.37 to 188.07,38.61468,-121.30276,38.56572,-121.39069,2017-05-24_AR_Sunrise_Ramp_Rel,2017-05-24,137,127,1,2,AR_Sunrise_Ramp_Rel
AR_Mouth,AR_Downstream_WattAve,0.993,0.002,0.988,0.996,188.07,174.27,Amer R,AR_Downstream_WattAve to AR_Mouth,188.07 to 174.27,38.56572,-121.39069,38.59999,-121.50684,2017-05-24_AR_Sunrise_Ramp_Rel,2017-05-24,127,116,1,3,AR_Sunrise_Ramp_Rel
TowerBridge,AR_Mouth,0.973,0.01,0.945,0.987,174.27,172,Lower Sac R,AR_Mouth to TowerBridge,174.27 to 172,38.59999,-121.50684,38.5802,-121.508,2017-05-24_AR_Sunrise_Ramp_Rel,2017-05-24,116,109,1,4,AR_Sunrise_Ramp_Rel
I80-50_Br,TowerBridge,0.983,0.013,0.928,0.996,172,170.74,Lower Sac R,TowerBridge to I80-50_Br,172 to 170.74,38.5802,-121.508,38.571133,-121.5164,2017-05-24_AR_Sunrise_Ramp_Rel,2017-05-24,109,93,1,5,AR_Sunrise_Ramp_Rel
SacTrawl,I80-50_Br,0.989,0.006,0.971,0.996,170.74,166.815,Lower Sac R,I80-50_Br to SacTrawl,170.74 to 166.815,38.571133,-121.5164,38.539519999999996,-121.51444000000001,2017-05-24_AR_Sunrise_Ramp_Rel,2017-05-24,93,103,1,6,AR_Sunrise_Ramp_Rel
Chipps,SacTrawl,0.988,0.001,0.985,0.991,166.815,71.48,West Delta,SacTrawl to Chipps,166.815 to 71.48,38.539519999999996,-121.51444000000001,38.046132,-121.912643,2017-05-24_AR_Sunrise_Ramp_Rel,2017-05-24,103,31,1,7,AR_Sunrise_Ramp_Rel
Benicia,Chipps,0.993,0.003,0.982,0.997,71.48,52.04,Carquinez Strait,Chipps to Benicia,71.48 to 52.04,38.046132,-121.912643,38.041233,-122.12382,2017-05-24_AR_Sunrise_Ramp_Rel,2017-05-24,31,29,1,8,AR_Sunrise_Ramp_Rel
GoldenGateE,Benicia,0.993,0.002,0.986,0.996,52.04,1.71,SF Bay,Benicia to GoldenGateE,52.04 to 1.71,38.041233,-122.12382,37.82794,-122.46168,2017-05-24_AR_Sunrise_Ramp_Rel,2017-05-24,29,20,1,9,AR_Sunrise_Ramp_Rel
AR_RanchoCordova,AR_Sunrise_Ramp_Rel,0.991,0.003,0.982,0.995,206.04,199.37,Amer R,AR_Sunrise_Ramp_Rel to AR_RanchoCordova,206.04 to 199.37,38.63634,-121.26424,38.61468,-121.30276,2017-05-31_AR_Sunrise_Ramp_Rel,2017-05-31,146,137,2,1,AR_Sunrise_Ramp_Rel
AR_Downstream_WattAve,AR_RanchoCordova,0.987,0.003,0.98,0.992,199.37,188.07,Amer R,AR_RanchoCordova to AR_Downstream_WattAve,199.37 to 188.07,38.61468,-121.30276,38.56572,-121.39069,2017-05-31_AR_Sunrise_Ramp_Rel,2017-05-31,137,118,2,2,AR_Sunrise_Ramp_Rel
