reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
JV_Glide1,RBDD_Rel,1,0,1,1,461.579,458.672,Upper Sac R,RBDD_Rel to JV_Glide1,461.579 to 458.672,40.15444,-122.20249,40.146988,-122.17251,2018-05-12_RBDD_Rel,2018-05-12,18,18,1,1,RBDD_Rel
BankRobber,JV_Glide1,0.991,0.009,0.937,0.999,458.672,452.5,Upper Sac R,JV_Glide1 to BankRobber,458.672 to 452.5,40.146988,-122.17251,40.11399,-122.13354,2018-05-12_RBDD_Rel,2018-05-12,18,17,1,2,RBDD_Rel
Mill_Ck_Conf,BankRobber,0.983,0.01,0.948,0.994,452.5,441.318,Upper Sac R,BankRobber to Mill_Ck_Conf,452.5 to 441.318,40.11399,-122.13354,40.0327,-122.11987,2018-05-12_RBDD_Rel,2018-05-12,17,14,1,3,RBDD_Rel
Abv_WoodsonBr,Mill_Ck_Conf,0.979,0.01,0.946,0.992,441.318,425.158,Upper Sac R,Mill_Ck_Conf to Abv_WoodsonBr,441.318 to 425.158,40.0327,-122.11987,39.920094,-122.08446000000001,2018-05-12_RBDD_Rel,2018-05-12,14,10,1,4,RBDD_Rel
Blw_Woodson,Abv_WoodsonBr,0.942,0.04,0.796,0.986,425.158,421.4,Upper Sac R,Abv_WoodsonBr to Blw_Woodson,425.158 to 421.4,39.920094,-122.08446000000001,39.898,-122.06787,2018-05-12_RBDD_Rel,2018-05-12,10,8,1,5,RBDD_Rel
GCID,Blw_Woodson,0.971,0.016,0.914,0.991,421.4,405.273,Upper Sac R,Blw_Woodson to GCID,421.4 to 405.273,39.898,-122.06787,39.798953499999996,-122.04724300000001,2018-05-12_RBDD_Rel,2018-05-12,8,5,1,6,RBDD_Rel
Blw_IrvineFinch,GCID,0.918,0.047,0.765,0.975,405.273,394.668,Upper Sac R,GCID to Blw_IrvineFinch,405.273 to 394.668,39.798953499999996,-122.04724300000001,39.73146,-121.97483,2018-05-12_RBDD_Rel,2018-05-12,5,2,1,7,RBDD_Rel
BlwOrd,Blw_IrvineFinch,0.979,0.021,0.861,0.997,394.668,361.728,Upper Sac R,Blw_IrvineFinch to BlwOrd,394.668 to 361.728,39.73146,-121.97483,39.56548,-122.0018,2018-05-12_RBDD_Rel,2018-05-12,2,1,1,8,RBDD_Rel
ButteBr,BlwOrd,1,0,1,1,361.728,344.108,Lower Sac R,BlwOrd to ButteBr,361.728 to 344.108,39.56548,-122.0018,39.4569,-121.995,2018-05-12_RBDD_Rel,2018-05-12,1,1,1,9,RBDD_Rel
Colusa AC3,ButteBr,1,0,1,1,344.108,331.158,Lower Sac R,ButteBr to Colusa AC3,344.108 to 331.158,39.4569,-121.995,39.36038,-122.01373,2018-05-12_RBDD_Rel,2018-05-12,1,1,1,10,RBDD_Rel
Colusa AC2,Colusa AC3,1,0,1,1,331.158,318.618,Lower Sac R,Colusa AC3 to Colusa AC2,331.158 to 318.618,39.36038,-122.01373,39.28007,-122.01891,2018-05-12_RBDD_Rel,2018-05-12,1,1,1,11,RBDD_Rel
AbvColusaBr,Colusa AC2,1,0,1,1,318.618,307.738,Lower Sac R,Colusa AC2 to AbvColusaBr,318.618 to 307.738,39.28007,-122.01891,39.2205,-122.00847,2018-05-12_RBDD_Rel,2018-05-12,1,1,1,12,RBDD_Rel
Colusa BC2,AbvColusaBr,1,0,1,1,307.738,296.278,Lower Sac R,AbvColusaBr to Colusa BC2,307.738 to 296.278,39.2205,-122.00847,39.184963,-121.943214,2018-05-12_RBDD_Rel,2018-05-12,1,1,1,13,RBDD_Rel
Colusa BC3,Colusa BC2,1,0,1,1,296.278,287.208,Lower Sac R,Colusa BC2 to Colusa BC3,296.278 to 287.208,39.184963,-121.943214,39.13132,-121.936554,2018-05-12_RBDD_Rel,2018-05-12,1,1,1,14,RBDD_Rel
