reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
Altube,RBDD_Rel,0.985,0.006,0.967,0.993,461.579,460.236,Upper Sac R,RBDD_Rel to Altube,461.579 to 460.236,40.15444,-122.20249,40.15348,-122.1887,2022-04-17_RBDD_Rel,2022-04-17,299,293,1,1,RBDD_Rel
Mill_Ck_Conf,Altube,0.994,0.001,0.991,0.995,460.236,441.318,Upper Sac R,Altube to Mill_Ck_Conf,460.236 to 441.318,40.15348,-122.1887,40.0327,-122.11987,2022-04-17_RBDD_Rel,2022-04-17,293,259,1,2,RBDD_Rel
Abv_WoodsonBr,Mill_Ck_Conf,0.993,0.001,0.99,0.995,441.318,425.158,Upper Sac R,Mill_Ck_Conf to Abv_WoodsonBr,441.318 to 425.158,40.0327,-122.11987,39.920094,-122.08446000000001,2022-04-17_RBDD_Rel,2022-04-17,259,231,1,3,RBDD_Rel
Abv_Otter_Island,Abv_WoodsonBr,0.997,0.002,0.99,0.999,425.158,419.398,Upper Sac R,Abv_WoodsonBr to Abv_Otter_Island,425.158 to 419.398,39.920094,-122.08446000000001,39.882027,-122.064445,2022-04-17_RBDD_Rel,2022-04-17,231,221,1,4,RBDD_Rel
GCID,Abv_Otter_Island,0.993,0.002,0.989,0.995,419.398,405.273,Upper Sac R,Abv_Otter_Island to GCID,419.398 to 405.273,39.882027,-122.064445,39.798953499999996,-122.04724300000001,2022-04-17_RBDD_Rel,2022-04-17,221,206,1,5,RBDD_Rel
BlwOrd,GCID,0.993,0.001,0.991,0.995,405.273,361.728,Upper Sac R,GCID to BlwOrd,405.273 to 361.728,39.798953499999996,-122.04724300000001,39.56548,-122.0018,2022-04-17_RBDD_Rel,2022-04-17,206,150,1,6,RBDD_Rel
Colusa AC3,BlwOrd,0.994,0.001,0.991,0.996,361.728,331.158,Lower Sac R,BlwOrd to Colusa AC3,361.728 to 331.158,39.56548,-122.0018,39.36038,-122.01373,2022-04-17_RBDD_Rel,2022-04-17,150,125,1,7,RBDD_Rel
Colusa AC2,Colusa AC3,0.998,0.001,0.993,0.999,331.158,318.618,Lower Sac R,Colusa AC3 to Colusa AC2,331.158 to 318.618,39.36038,-122.01373,39.28007,-122.01891,2022-04-17_RBDD_Rel,2022-04-17,125,113,1,8,RBDD_Rel
AbvColusaBr,Colusa AC2,0.992,0.003,0.985,0.996,318.618,307.738,Lower Sac R,Colusa AC2 to AbvColusaBr,318.618 to 307.738,39.28007,-122.01891,39.2205,-122.00847,2022-04-17_RBDD_Rel,2022-04-17,113,108,1,9,RBDD_Rel
Colusa BC2,AbvColusaBr,0.995,0.002,0.989,0.998,307.738,296.278,Lower Sac R,AbvColusaBr to Colusa BC2,307.738 to 296.278,39.2205,-122.00847,39.184963,-121.943214,2022-04-17_RBDD_Rel,2022-04-17,108,103,1,10,RBDD_Rel
MeridanBr,Colusa BC2,0.988,0.006,0.969,0.995,296.278,290.848,Lower Sac R,Colusa BC2 to MeridanBr,296.278 to 290.848,39.184963,-121.943214,39.145542,-121.917984,2022-04-17_RBDD_Rel,2022-04-17,103,91,1,11,RBDD_Rel
AbvTisdale,MeridanBr,0.986,0.003,0.98,0.991,290.848,269.238,Lower Sac R,MeridanBr to AbvTisdale,290.848 to 269.238,39.145542,-121.917984,39.0364,-121.82918,2022-04-17_RBDD_Rel,2022-04-17,91,73,1,12,RBDD_Rel
BlwTisdale,AbvTisdale,0.998,0.002,0.988,1,269.238,261.408,Lower Sac R,AbvTisdale to BlwTisdale,269.238 to 261.408,39.0364,-121.82918,38.98941,-121.80463,2022-04-17_RBDD_Rel,2022-04-17,73,73,1,13,RBDD_Rel
BlwChinaBend,BlwTisdale,0.989,0.003,0.982,0.993,261.408,240.618,Lower Sac R,BlwTisdale to BlwChinaBend,261.408 to 240.618,38.98941,-121.80463,38.88406,-121.81713,2022-04-17_RBDD_Rel,2022-04-17,73,56,1,14,RBDD_Rel
Knights_RST,BlwChinaBend,0.996,0.002,0.989,0.999,240.618,222.05,Lower Sac R,BlwChinaBend to Knights_RST,240.618 to 222.05,38.88406,-121.81713,38.79348,-121.6914625,2022-04-17_RBDD_Rel,2022-04-17,56,54,1,15,RBDD_Rel
Abv_FremontWeir,Knights_RST,0.995,0.004,0.978,0.999,222.05,215.18,Lower Sac R,Knights_RST to Abv_FremontWeir,222.05 to 215.18,38.79348,-121.6914625,38.76009,-121.67145,2022-04-17_RBDD_Rel,2022-04-17,54,52,1,16,RBDD_Rel
Blw_FRConf,Abv_FremontWeir,0.995,0.003,0.984,0.998,215.18,203.468,Lower Sac R,Abv_FremontWeir to Blw_FRConf,215.18 to 203.468,38.76009,-121.67145,38.77409,-121.60043,2022-04-17_RBDD_Rel,2022-04-17,52,49,1,17,RBDD_Rel
Blw_Elkhorn_GS1,Blw_FRConf,0.994,0.004,0.98,0.998,203.468,191.92,Lower Sac R,Blw_FRConf to Blw_Elkhorn_GS1,203.468 to 191.92,38.77409,-121.60043,38.64737,-121.57771,2022-04-17_RBDD_Rel,2022-04-17,49,44,1,18,RBDD_Rel
TowerBridge,Blw_Elkhorn_GS1,0.981,0.005,0.968,0.989,191.92,172,Lower Sac R,Blw_Elkhorn_GS1 to TowerBridge,191.92 to 172,38.64737,-121.57771,38.5802,-121.508,2022-04-17_RBDD_Rel,2022-04-17,44,31,1,19,RBDD_Rel
Freeport,TowerBridge,0.985,0.005,0.97,0.992,172,152.438,Lower Sac R,TowerBridge to Freeport,172 to 152.438,38.5802,-121.508,38.46467,-121.50501,2022-04-17_RBDD_Rel,2022-04-17,31,23,1,20,RBDD_Rel
Hood,Freeport,0.99,0.006,0.97,0.997,152.438,138.228,Lower Sac R,Freeport to Hood,152.438 to 138.228,38.46467,-121.50501,38.3617,-121.52033,2022-04-17_RBDD_Rel,2022-04-17,23,20,1,21,RBDD_Rel
Chipps,Hood,0.982,0.005,0.969,0.99,138.228,71.486,West Delta,Hood to Chipps,138.228 to 71.486,38.3617,-121.52033,38.046132,-121.912643,2022-04-17_RBDD_Rel,2022-04-17,20,6,1,22,RBDD_Rel
Benicia,Chipps,0.979,0.015,0.92,0.995,71.486,52.144,Carquinez Strait,Chipps to Benicia,71.486 to 52.144,38.046132,-121.912643,38.0423015,-122.1236,2022-04-17_RBDD_Rel,2022-04-17,6,4,1,23,RBDD_Rel
GoldenGateE,Benicia,0.986,0.01,0.946,0.997,52.144,1.71,SF Bay,Benicia to GoldenGateE,52.144 to 1.71,38.0423015,-122.1236,37.82794,-122.46168,2022-04-17_RBDD_Rel,2022-04-17,4,2,1,24,RBDD_Rel
Altube,RBDD_Rel,0.97,0.009,0.947,0.983,461.579,460.236,Upper Sac R,RBDD_Rel to Altube,461.579 to 460.236,40.15444,-122.20249,40.15348,-122.1887,2022-04-28_RBDD_Rel,2022-04-28,297,285,2,1,RBDD_Rel
Mill_Ck_Conf,Altube,0.982,0.002,0.978,0.986,460.236,441.318,Upper Sac R,Altube to Mill_Ck_Conf,460.236 to 441.318,40.15348,-122.1887,40.0327,-122.11987,2022-04-28_RBDD_Rel,2022-04-28,285,203,2,2,RBDD_Rel
Abv_WoodsonBr,Mill_Ck_Conf,0.982,0.002,0.977,0.987,441.318,425.158,Upper Sac R,Mill_Ck_Conf to Abv_WoodsonBr,441.318 to 425.158,40.0327,-122.11987,39.920094,-122.08446000000001,2022-04-28_RBDD_Rel,2022-04-28,203,144,2,3,RBDD_Rel
Abv_Otter_Island,Abv_WoodsonBr,0.982,0.005,0.969,0.989,425.158,419.398,Upper Sac R,Abv_WoodsonBr to Abv_Otter_Island,425.158 to 419.398,39.920094,-122.08446000000001,39.882027,-122.064445,2022-04-28_RBDD_Rel,2022-04-28,144,117,2,4,RBDD_Rel
GCID,Abv_Otter_Island,0.985,0.003,0.977,0.99,419.398,405.273,Upper Sac R,Abv_Otter_Island to GCID,419.398 to 405.273,39.882027,-122.064445,39.798953499999996,-122.04724300000001,2022-04-28_RBDD_Rel,2022-04-28,117,110,2,5,RBDD_Rel
BlwOrd,GCID,0.977,0.003,0.971,0.982,405.273,361.728,Upper Sac R,GCID to BlwOrd,405.273 to 361.728,39.798953499999996,-122.04724300000001,39.56548,-122.0018,2022-04-28_RBDD_Rel,2022-04-28,110,40,2,6,RBDD_Rel
Colusa AC3,BlwOrd,0.972,0.006,0.958,0.982,361.728,331.158,Lower Sac R,BlwOrd to Colusa AC3,361.728 to 331.158,39.56548,-122.0018,39.36038,-122.01373,2022-04-28_RBDD_Rel,2022-04-28,40,17,2,7,RBDD_Rel
Colusa AC2,Colusa AC3,1,0,1,1,331.158,318.618,Lower Sac R,Colusa AC3 to Colusa AC2,331.158 to 318.618,39.36038,-122.01373,39.28007,-122.01891,2022-04-28_RBDD_Rel,2022-04-28,17,12,2,8,RBDD_Rel
AbvColusaBr,Colusa AC2,0.933,0.022,0.875,0.966,318.618,307.738,Lower Sac R,Colusa AC2 to AbvColusaBr,318.618 to 307.738,39.28007,-122.01891,39.2205,-122.00847,2022-04-28_RBDD_Rel,2022-04-28,12,8,2,9,RBDD_Rel
Colusa BC2,AbvColusaBr,0.988,0.012,0.92,0.998,307.738,296.278,Lower Sac R,AbvColusaBr to Colusa BC2,307.738 to 296.278,39.2205,-122.00847,39.184963,-121.943214,2022-04-28_RBDD_Rel,2022-04-28,8,7,2,10,RBDD_Rel
MeridanBr,Colusa BC2,1,0,1,1,296.278,290.848,Lower Sac R,Colusa BC2 to MeridanBr,296.278 to 290.848,39.184963,-121.943214,39.145542,-121.917984,2022-04-28_RBDD_Rel,2022-04-28,7,5,2,11,RBDD_Rel
AbvTisdale,MeridanBr,0.985,0.011,0.94,0.996,290.848,269.238,Lower Sac R,MeridanBr to AbvTisdale,290.848 to 269.238,39.145542,-121.917984,39.0364,-121.82918,2022-04-28_RBDD_Rel,2022-04-28,5,5,2,12,RBDD_Rel
BlwTisdale,AbvTisdale,1,0,1,1,269.238,261.408,Lower Sac R,AbvTisdale to BlwTisdale,269.238 to 261.408,39.0364,-121.82918,38.98941,-121.80463,2022-04-28_RBDD_Rel,2022-04-28,5,5,2,13,RBDD_Rel
BlwChinaBend,BlwTisdale,0.976,0.017,0.907,0.994,261.408,240.618,Lower Sac R,BlwTisdale to BlwChinaBend,261.408 to 240.618,38.98941,-121.80463,38.88406,-121.81713,2022-04-28_RBDD_Rel,2022-04-28,5,3,2,14,RBDD_Rel
Knights_RST,BlwChinaBend,1,0,1,1,240.618,222.05,Lower Sac R,BlwChinaBend to Knights_RST,240.618 to 222.05,38.88406,-121.81713,38.79248,-121.69087,2022-04-28_RBDD_Rel,2022-04-28,3,3,2,15,RBDD_Rel
Abv_FremontWeir,Knights_RST,1,0,1,1,222.05,215.18,Lower Sac R,Knights_RST to Abv_FremontWeir,222.05 to 215.18,38.79248,-121.69087,38.76009,-121.67145,2022-04-28_RBDD_Rel,2022-04-28,3,3,2,16,RBDD_Rel
Blw_FRConf,Abv_FremontWeir,1,0,1,1,215.18,203.468,Lower Sac R,Abv_FremontWeir to Blw_FRConf,215.18 to 203.468,38.76009,-121.67145,38.77409,-121.60043,2022-04-28_RBDD_Rel,2022-04-28,3,3,2,17,RBDD_Rel
Blw_Elkhorn_GS1,Blw_FRConf,0.968,0.034,0.774,0.996,203.468,191.92,Lower Sac R,Blw_FRConf to Blw_Elkhorn_GS1,203.468 to 191.92,38.77409,-121.60043,38.64737,-121.57771,2022-04-28_RBDD_Rel,2022-04-28,3,2,2,18,RBDD_Rel
