reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
Abv_WoodsonBr,RBDD_Rel,0.99,0.001,0.988,0.993,461.579,425.158,Upper Sac R,RBDD_Rel to Abv_WoodsonBr,461.579 to 425.158,40.15444,-122.20249,39.920094,-122.08446000000001,2022-12-13_RBDD_Rel,2022-12-13,200,139,1,1,RBDD_Rel
GCID,Abv_WoodsonBr,0.983,0.003,0.976,0.987,425.158,405.273,Upper Sac R,Abv_WoodsonBr to GCID,425.158 to 405.273,39.920094,-122.08446000000001,39.799051000000006,-122.0471165,2022-12-13_RBDD_Rel,2022-12-13,139,99,1,2,RBDD_Rel
Blw_IrvineFinch,GCID,0.976,0.005,0.963,0.984,405.273,394.668,Upper Sac R,GCID to Blw_IrvineFinch,405.273 to 394.668,39.799051000000006,-122.0471165,39.73146,-121.97483,2022-12-13_RBDD_Rel,2022-12-13,99,76,1,3,RBDD_Rel
Ord,Blw_IrvineFinch,0.975,0.004,0.965,0.982,394.668,371.658,Upper Sac R,Blw_IrvineFinch to Ord,394.668 to 371.658,39.73146,-121.97483,39.63447,-121.98959,2022-12-13_RBDD_Rel,2022-12-13,76,41,1,4,RBDD_Rel
BlwOrd,Ord,0.969,0.009,0.945,0.983,371.658,361.728,Upper Sac R,Ord to BlwOrd,371.658 to 361.728,39.63447,-121.98959,39.56548,-122.0018,2022-12-13_RBDD_Rel,2022-12-13,41,30,1,5,RBDD_Rel
AbvButteBr,BlwOrd,0.98,0.007,0.959,0.99,361.728,347.188,Lower Sac R,BlwOrd to AbvButteBr,361.728 to 347.188,39.56548,-122.0018,39.4717175,-121.995482,2022-12-13_RBDD_Rel,2022-12-13,30,23,1,6,RBDD_Rel
Colusa AC3,AbvButteBr,0.985,0.007,0.963,0.994,347.188,331.158,Lower Sac R,AbvButteBr to Colusa AC3,347.188 to 331.158,39.4717175,-121.995482,39.36038,-122.01373,2022-12-13_RBDD_Rel,2022-12-13,23,17,1,7,RBDD_Rel
Benicia,Colusa AC3,0.995,0.001,0.992,0.997,331.158,52.144,Carquinez Strait,Colusa AC3 to Benicia,331.158 to 52.144,39.36038,-122.01373,38.0423015,-122.1236,2022-12-13_RBDD_Rel,2022-12-13,17,5,1,8,RBDD_Rel
GoldenGateE,Benicia,0.982,0.011,0.943,0.994,52.144,1.71,SF Bay,Benicia to GoldenGateE,52.144 to 1.71,38.0423015,-122.1236,37.82794,-122.46168,2022-12-13_RBDD_Rel,2022-12-13,5,2,1,9,RBDD_Rel
Abv_WoodsonBr,RBDD_Rel,0.999,0,0.998,0.999,461.579,425.158,Upper Sac R,RBDD_Rel to Abv_WoodsonBr,461.579 to 425.158,40.15444,-122.20249,39.920094,-122.08446000000001,2023-02-01_RBDD_Rel,2023-02-01,200,192,2,1,RBDD_Rel
