reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
Altube,RBDD_Rel,0.94,0.014,0.906,0.963,461.579,460.4,Upper Sac R,RBDD_Rel to Altube,461.579 to 460.4,40.15444,-122.20249,40.15348,-122.1887,2023-04-18_RBDD_Rel,2023-04-18,251,206,1,1,RBDD_Rel
Blw_Salt,Altube,0.993,0.003,0.984,0.997,460.4,456.888,Upper Sac R,Altube to Blw_Salt,460.4 to 456.888,40.15348,-122.1887,40.1464,-122.15246,2023-04-18_RBDD_Rel,2023-04-18,206,227,1,2,RBDD_Rel
Abv_WoodsonBr,Blw_Salt,0.998,0.001,0.997,0.999,456.888,425.158,Upper Sac R,Blw_Salt to Abv_WoodsonBr,456.888 to 425.158,40.1464,-122.15246,39.920094,-122.08446000000001,2023-04-18_RBDD_Rel,2023-04-18,227,213,1,3,RBDD_Rel
GCID,Abv_WoodsonBr,0.996,0.001,0.994,0.998,425.158,405.273,Upper Sac R,Abv_WoodsonBr to GCID,425.158 to 405.273,39.920094,-122.08446000000001,39.799051000000006,-122.0471165,2023-04-18_RBDD_Rel,2023-04-18,213,198,1,4,RBDD_Rel
Ord,GCID,0.998,0.001,0.997,0.999,405.273,371.658,Upper Sac R,GCID to Ord,405.273 to 371.658,39.799051000000006,-122.0471165,39.634564999999995,-121.98939,2023-04-18_RBDD_Rel,2023-04-18,198,183,1,5,RBDD_Rel
BlwOrd,Ord,0.998,0.001,0.994,0.999,371.658,361.728,Upper Sac R,Ord to BlwOrd,371.658 to 361.728,39.634564999999995,-121.98939,39.56548,-122.0018,2023-04-18_RBDD_Rel,2023-04-18,183,179,1,6,RBDD_Rel
AbvButteBr,BlwOrd,0.997,0.001,0.994,0.999,361.728,347.188,Lower Sac R,BlwOrd to AbvButteBr,361.728 to 347.188,39.56548,-122.0018,39.4717175,-121.995482,2023-04-18_RBDD_Rel,2023-04-18,179,173,1,7,RBDD_Rel
Colusa AC3,AbvButteBr,0.994,0.001,0.991,0.997,347.188,331.158,Lower Sac R,AbvButteBr to Colusa AC3,347.188 to 331.158,39.4717175,-121.995482,39.36038,-122.01373,2023-04-18_RBDD_Rel,2023-04-18,173,156,1,8,RBDD_Rel
Colusa AC2,Colusa AC3,0.997,0.001,0.994,0.999,331.158,318.618,Lower Sac R,Colusa AC3 to Colusa AC2,331.158 to 318.618,39.36038,-122.01373,39.28007,-122.01891,2023-04-18_RBDD_Rel,2023-04-18,156,154,1,9,RBDD_Rel
AbvColusaBr,Colusa AC2,0.997,0.001,0.992,0.999,318.618,307.738,Lower Sac R,Colusa AC2 to AbvColusaBr,318.618 to 307.738,39.28007,-122.01891,39.2205,-122.00847,2023-04-18_RBDD_Rel,2023-04-18,154,148,1,10,RBDD_Rel
