estimate,se,lcl,ucl,StudyID,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end
0.0480173,0.0103362,0.0313656,0.0728443,Sutter_Bypass_Rice_2022,Sutter_Bypass_Rice_Rel,SutterWestCanal2,228.021,223.64,Sutter Bypass,"Sutter_Bypass_Rice_Rel to 
SutterWestCanal2",228.021 to 223.64,315,82,38.94364,-121.66482,38.910755,-121.63891
0.5431674,0.0805331,0.3862695,0.6919436,Sutter_Bypass_Rice_2022,SutterWestCanal2,SutterWestCanal3,223.64,219.33,Sutter Bypass,"SutterWestCanal2 to 
SutterWestCanal3",223.64 to 219.33,82,61,38.910755,-121.63891,38.873375,-121.64053
0.7200747,0.0519863,0.6080987,0.8100503,Sutter_Bypass_Rice_2022,SutterWestCanal3,SutterWestSacRiver,219.33,206.48,Sutter Bypass,"SutterWestCanal3 to 
SutterWestSacRiver",219.33 to 206.48,61,42,38.873375,-121.64053,38.78346,-121.63226
1,0,1,1,Sutter_Bypass_Rice_2022,SutterWestSacRiver,SacFeather,206.48,205.76,Sutter Bypass,"SutterWestSacRiver to 
SacFeather",206.48 to 205.76,42,37,38.78346,-121.63226,38.785244,-121.62445
1,0,1,1,Sutter_Bypass_Rice_2022,SacFeather,Blw_FRConf,205.76,203.468,Lower Sac R,"SacFeather to 
Blw_FRConf",205.76 to 203.468,37,37,38.785244,-121.62445,38.778105,-121.607845
0.9658626,0.1317807,0.0110853,0.999986,Sutter_Bypass_Rice_2022,Blw_FRConf,Blw_FR_GS2,203.468,199,Lower Sac R,"Blw_FRConf to 
Blw_FR_GS2",203.468 to 199,37,19,38.778105,-121.607845,38.73505,-121.60267
0.8602446,1.0971499,1.049872e-7,1,Sutter_Bypass_Rice_2022,Blw_FR_GS2,RM75_RST,199,198.162,Lower Sac R,"Blw_FR_GS2 to 
RM75_RST",199 to 198.162,19,14,38.73505,-121.60267,38.727325,-121.60518
0.7811127,0.1365795,0.4271391,0.9446876,Sutter_Bypass_Rice_2022,RM75_RST,Blw_Elkhorn_GS1,198.162,191.92,Lower Sac R,"RM75_RST to 
Blw_Elkhorn_GS1",198.162 to 191.92,14,35,38.727325,-121.60518,38.64737,-121.57771
0.9408946,0.0286792,0.8528001,0.9776491,Sutter_Bypass_Rice_2022,Blw_Elkhorn_GS1,TowerBridge,191.92,172,Lower Sac R,"Blw_Elkhorn_GS1 to 
TowerBridge",191.92 to 172,35,31,38.64737,-121.57771,38.5802,-121.508
0.7932566,0.209988,0.2377717,0.9792506,Sutter_Bypass_Rice_2022,TowerBridge,I80-50_Br,172,170.748,Lower Sac R,"TowerBridge to 
I80-50_Br",172 to 170.748,31,29,38.5802,-121.508,38.571133,-121.5164
0.7574022,0.1215651,0.4605207,0.9194743,Sutter_Bypass_Rice_2022,I80-50_Br,SacTrawl,170.748,166.8225,Lower Sac R,"I80-50_Br to 
SacTrawl",170.748 to 166.8225,29,27,38.571133,-121.5164,38.539519999999996,-121.51444000000001
0.8566948,0.1325158,0.4188476,0.9802318,Sutter_Bypass_Rice_2022,SacTrawl,Little Pocket_DS of I80,166.8225,164.387,Lower Sac R,"SacTrawl to 
Little Pocket_DS of I80",166.8225 to 164.387,27,26,38.539519999999996,-121.51444000000001,38.52448,-121.52849
0.8695371,0.0608488,0.6996342,0.9501778,Sutter_Bypass_Rice_2022,Little Pocket_DS of I80,Freeport,164.387,152.438,Lower Sac R,"Little Pocket_DS of I80 to 
Freeport",164.387 to 152.438,26,22,38.52448,-121.52849,38.46467,-121.50501
0.8188849,0.1157426,0.4948083,0.9542786,Sutter_Bypass_Rice_2022,Freeport,Abv_Clarksburg,152.438,147.668,Lower Sac R,"Freeport to 
Abv_Clarksburg",152.438 to 147.668,22,20,38.46467,-121.50501,38.43443,-121.52448
0.9471137,0.0514681,0.7050209,0.9926028,Sutter_Bypass_Rice_2022,Abv_Clarksburg,Hood,147.668,138.228,Lower Sac R,"Abv_Clarksburg to 
Hood",147.668 to 138.228,20,19,38.43443,-121.52448,38.3617,-121.52033
0.8070001,0.04967,0.6911663,0.8865213,Sutter_Bypass_Rice_2022,Hood,Benicia,138.228,52.144000000000005,Lower Sac R,"Hood to 
Benicia",138.228 to 52.144,19,3,38.3617,-121.52033,38.0423015,-122.1236
0.8042468,0.1302132,0.448172,0.9540939,Sutter_Bypass_Rice_2022,Benicia,GoldenGateE,52.144000000000005,1.71,Carquinez Strait,"Benicia to 
GoldenGateE",52.144 to 1.71,3,1,38.0423015,-122.1236,37.82794,-122.46168
1,0,1,1,Sutter_Bypass_Rice_2022,GoldenGateE,GoldenGateW,1.71,0.8,SF Bay,"GoldenGateE to 
GoldenGateW",1.71 to 0.8,1,1,37.82794,-122.46168,37.82126,-122.46918
