reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
Blw_Salt,Altube Island_Rel,1,0,1,1,460,456.888,Upper Sac R,Altube Island_Rel to Blw_Salt,460 to 456.888,40.15314,-122.19696,40.1464,-122.15246,2022-04-14_Altube Island_Rel,2022-04-14,72,72,1,1,Altube Island_Rel
Mill_Ck_Conf,Blw_Salt,0.996,0.002,0.99,0.999,456.888,441.318,Upper Sac R,Blw_Salt to Mill_Ck_Conf,456.888 to 441.318,40.1464,-122.15246,40.0327,-122.11987,2022-04-14_Altube Island_Rel,2022-04-14,72,68,1,2,Altube Island_Rel
Abv_WoodsonBr,Mill_Ck_Conf,0.991,0.003,0.983,0.995,441.318,425.158,Upper Sac R,Mill_Ck_Conf to Abv_WoodsonBr,441.318 to 425.158,40.0327,-122.11987,39.920094,-122.08446000000001,2022-04-14_Altube Island_Rel,2022-04-14,68,59,1,3,Altube Island_Rel
GCID,Abv_WoodsonBr,0.996,0.002,0.989,0.998,425.158,405.273,Upper Sac R,Abv_WoodsonBr to GCID,425.158 to 405.273,39.920094,-122.08446000000001,39.798953499999996,-122.04724300000001,2022-04-14_Altube Island_Rel,2022-04-14,59,54,1,4,Altube Island_Rel
Blw_IrvineFinch,GCID,0.995,0.003,0.982,0.999,405.273,394.668,Upper Sac R,GCID to Blw_IrvineFinch,405.273 to 394.668,39.798953499999996,-122.04724300000001,39.73146,-121.97483,2022-04-14_Altube Island_Rel,2022-04-14,54,45,1,5,Altube Island_Rel
Ord,Blw_IrvineFinch,0.997,0.002,0.991,0.999,394.668,371.658,Upper Sac R,Blw_IrvineFinch to Ord,394.668 to 371.658,39.73146,-121.97483,39.63447,-121.98959,2022-04-14_Altube Island_Rel,2022-04-14,45,48,1,6,Altube Island_Rel
BlwOrd,Ord,0.994,0.004,0.98,0.998,371.658,361.728,Upper Sac R,Ord to BlwOrd,371.658 to 361.728,39.63447,-121.98959,39.56548,-122.0018,2022-04-14_Altube Island_Rel,2022-04-14,48,45,1,7,Altube Island_Rel
Colusa AC3,BlwOrd,0.996,0.002,0.991,0.998,361.728,331.158,Lower Sac R,BlwOrd to Colusa AC3,361.728 to 331.158,39.56548,-122.0018,39.36038,-122.01373,2022-04-14_Altube Island_Rel,2022-04-14,45,40,1,8,Altube Island_Rel
Colusa AC2,Colusa AC3,0.996,0.003,0.984,0.999,331.158,318.618,Lower Sac R,Colusa AC3 to Colusa AC2,331.158 to 318.618,39.36038,-122.01373,39.28007,-122.01891,2022-04-14_Altube Island_Rel,2022-04-14,40,36,1,9,Altube Island_Rel
AbvColusaBr,Colusa AC2,0.997,0.003,0.982,1,318.618,307.738,Lower Sac R,Colusa AC2 to AbvColusaBr,318.618 to 307.738,39.28007,-122.01891,39.2205,-122.00847,2022-04-14_Altube Island_Rel,2022-04-14,36,36,1,10,Altube Island_Rel
Colusa BC2,AbvColusaBr,1,0,1,1,307.738,296.278,Lower Sac R,AbvColusaBr to Colusa BC2,307.738 to 296.278,39.2205,-122.00847,39.184963,-121.943214,2022-04-14_Altube Island_Rel,2022-04-14,36,37,1,11,Altube Island_Rel
AbvTisdale,Colusa BC2,0.992,0.003,0.984,0.996,296.278,269.238,Lower Sac R,Colusa BC2 to AbvTisdale,296.278 to 269.238,39.184963,-121.943214,39.0364,-121.82918,2022-04-14_Altube Island_Rel,2022-04-14,37,30,1,12,Altube Island_Rel
BlwTisdale,AbvTisdale,0.996,0.004,0.97,0.999,269.238,261.408,Lower Sac R,AbvTisdale to BlwTisdale,269.238 to 261.408,39.0364,-121.82918,38.98941,-121.80463,2022-04-14_Altube Island_Rel,2022-04-14,30,29,1,13,Altube Island_Rel
BlwChinaBend,BlwTisdale,0.985,0.005,0.969,0.992,261.408,240.618,Lower Sac R,BlwTisdale to BlwChinaBend,261.408 to 240.618,38.98941,-121.80463,38.88406,-121.81713,2022-04-14_Altube Island_Rel,2022-04-14,29,21,1,14,Altube Island_Rel
Knights_RST,BlwChinaBend,1,0,1,1,240.618,222.05,Lower Sac R,BlwChinaBend to Knights_RST,240.618 to 222.05,38.88406,-121.81713,38.79348,-121.6914625,2022-04-14_Altube Island_Rel,2022-04-14,21,21,1,15,Altube Island_Rel
Blw_Knights_GS3,Knights_RST,1,0,1,1,222.05,215.34,Lower Sac R,Knights_RST to Blw_Knights_GS3,222.05 to 215.34,38.79348,-121.6914625,38.75972,-121.67329,2022-04-14_Altube Island_Rel,2022-04-14,21,21,1,16,Altube Island_Rel
Blw_FRConf,Blw_Knights_GS3,1,0,1,1,215.34,203.468,Lower Sac R,Blw_Knights_GS3 to Blw_FRConf,215.34 to 203.468,38.75972,-121.67329,38.77409,-121.60043,2022-04-14_Altube Island_Rel,2022-04-14,21,21,1,17,Altube Island_Rel
Blw_Elkhorn_GS1,Blw_FRConf,0.991,0.006,0.966,0.998,203.468,191.92,Lower Sac R,Blw_FRConf to Blw_Elkhorn_GS1,203.468 to 191.92,38.77409,-121.60043,38.64737,-121.57771,2022-04-14_Altube Island_Rel,2022-04-14,21,19,1,18,Altube Island_Rel
TowerBridge,Blw_Elkhorn_GS1,0.997,0.003,0.981,1,191.92,172,Lower Sac R,Blw_Elkhorn_GS1 to TowerBridge,191.92 to 172,38.64737,-121.57771,38.5802,-121.508,2022-04-14_Altube Island_Rel,2022-04-14,19,18,1,19,Altube Island_Rel
Freeport,TowerBridge,0.987,0.006,0.967,0.995,172,152.231,Lower Sac R,TowerBridge to Freeport,172 to 152.231,38.5802,-121.508,38.46467,-121.50501,2022-04-14_Altube Island_Rel,2022-04-14,18,14,1,20,Altube Island_Rel
Hood_1,Freeport,0.976,0.012,0.938,0.991,152.231,138.228,Lower Sac R,Freeport to Hood_1,152.231 to 138.228,38.46467,-121.50501,38.3617,-121.52033,2022-04-14_Altube Island_Rel,2022-04-14,14,10,1,21,Altube Island_Rel
Chipps,Hood_1,0.986,0.006,0.969,0.994,138.228,71.486,West Delta,Hood_1 to Chipps,138.228 to 71.486,38.3617,-121.52033,38.046132,-121.912643,2022-04-14_Altube Island_Rel,2022-04-14,10,4,1,22,Altube Island_Rel
Benicia,Chipps,1,0,1,1,71.486,52.144,Carquinez Strait,Chipps to Benicia,71.486 to 52.144,38.046132,-121.912643,38.0423015,-122.1236,2022-04-14_Altube Island_Rel,2022-04-14,4,4,1,23,Altube Island_Rel
GoldenGateE,Benicia,0.986,0.01,0.946,0.997,52.144,1.71,SF Bay,Benicia to GoldenGateE,52.144 to 1.71,38.0423015,-122.1236,37.82794,-122.46168,2022-04-14_Altube Island_Rel,2022-04-14,4,2,1,24,Altube Island_Rel
Blw_Salt,Altube Island_Rel,0.993,0.003,0.983,0.997,460,456.888,Upper Sac R,Altube Island_Rel to Blw_Salt,460 to 456.888,40.15314,-122.19696,40.1464,-122.15246,2022-05-04_Altube Island_Rel,2022-05-04,231,225,2,1,Altube Island_Rel
