estimate,se,lcl,ucl,CI,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,group,reach_num,mean_rel_date,release_site
0.978,0.009,0.951,0.99,0.02947169999999999,Caldwell_Park_Rel,Blw_Cypress,551.28,543.9,Upper Sac R,Caldwell_Park_Rel to Blw_Cypress,551.28 to 543.9,358,325,40.593826,-122.39836,40.56047,-122.37527,2014-02-10_Caldwell_Park_Rel,1,1,2014-02-10,Caldwell_Park_Rel
0.993,0.005,0.97,0.998,0.02367280000000005,Blw_Cypress,Blw_ClearCr,543.9,535.62,Upper Sac R,Blw_Cypress to Blw_ClearCr,543.9 to 535.62,325,335,40.56047,-122.37527,40.50188,-122.36192,2014-02-10_Caldwell_Park_Rel,1,2,2014-02-10,Caldwell_Park_Rel
0.994,0.003,0.981,0.998,0.024663800000000013,Blw_ClearCr,BlwCowCr,535.62,520.69,Upper Sac R,Blw_ClearCr to BlwCowCr,535.62 to 520.69,335,331,40.50188,-122.36192,40.46013,-122.22765,2014-02-10_Caldwell_Park_Rel,1,3,2014-02-10,Caldwell_Park_Rel
0.999,0.002,0.959,1,0.0534173,BlwCowCr,Battle_Conf,520.69,507.48,Upper Sac R,BlwCowCr to Battle_Conf,520.69 to 507.48,331,330,40.46013,-122.22765,40.35371,-122.17734,2014-02-10_Caldwell_Park_Rel,1,4,2014-02-10,Caldwell_Park_Rel
0.992,0.003,0.983,0.996,0.03777419999999998,Battle_Conf,Blw_Paynes_Ck,507.48,476.27,Upper Sac R,Battle_Conf to Blw_Paynes_Ck,507.48 to 476.27,330,328,40.35371,-122.17734,40.25534,-122.17332,2014-02-10_Caldwell_Park_Rel,1,5,2014-02-10,Caldwell_Park_Rel
0.972,0.007,0.955,0.982,0.05075700000000005,Blw_Paynes_Ck,Blw_Salt,476.27,456.88,Upper Sac R,Blw_Paynes_Ck to Blw_Salt,476.27 to 456.88,328,310,40.25534,-122.17332,40.1464,-122.15246,2014-02-10_Caldwell_Park_Rel,1,6,2014-02-10,Caldwell_Park_Rel
0.973,0.008,0.953,0.985,0.04867189999999999,Blw_Salt,Mill_Ck_Conf,456.88,441.31,Upper Sac R,Blw_Salt to Mill_Ck_Conf,456.88 to 441.31,310,293,40.1464,-122.15246,40.0327,-122.11987,2014-02-10_Caldwell_Park_Rel,1,7,2014-02-10,Caldwell_Park_Rel
0.953,0.011,0.927,0.97,0.06761989999999996,Mill_Ck_Conf,Abv_WoodsonBr,441.31,425.15,Upper Sac R,Mill_Ck_Conf to Abv_WoodsonBr,441.31 to 425.15,293,271,40.0327,-122.11987,39.920094,-122.08446000000001,2014-02-10_Caldwell_Park_Rel,1,8,2014-02-10,Caldwell_Park_Rel
0.917,0.011,0.893,0.936,0.1095143999999999,Abv_WoodsonBr,Blw_IrvineFinch,425.15,394.66,Upper Sac R,Abv_WoodsonBr to Blw_IrvineFinch,425.15 to 394.66,271,186,39.920094,-122.08446000000001,39.73146,-121.97483,2014-02-10_Caldwell_Park_Rel,1,9,2014-02-10,Caldwell_Park_Rel
0.935,0.011,0.91,0.953,0.11953570000000002,Blw_IrvineFinch,BlwOrd,394.66,361.72,Upper Sac R,Blw_IrvineFinch to BlwOrd,394.66 to 361.72,186,151,39.73146,-121.97483,39.56548,-122.0018,2014-02-10_Caldwell_Park_Rel,1,10,2014-02-10,Caldwell_Park_Rel
0.969,0.012,0.935,0.985,0.11079819999999996,BlwOrd,BlwButteBr,361.72,338.28,Lower Sac R,BlwOrd to BlwButteBr,361.72 to 338.28,151,118,39.56548,-122.0018,39.41913,-122.00943,2014-02-10_Caldwell_Park_Rel,1,11,2014-02-10,Caldwell_Park_Rel
0.964,0.01,0.938,0.98,0.11730759999999996,BlwButteBr,AbvColusaBr,338.28,307.73,Lower Sac R,BlwButteBr to AbvColusaBr,338.28 to 307.73,118,113,39.41913,-122.00943,39.2205,-122.00847,2014-02-10_Caldwell_Park_Rel,1,12,2014-02-10,Caldwell_Park_Rel
0.997,0.004,0.96,1,0.13773599999999997,AbvColusaBr,AbvTisdale,307.73,269.23,Lower Sac R,AbvColusaBr to AbvTisdale,307.73 to 269.23,113,121,39.2205,-122.00847,39.0364,-121.82918,2014-02-10_Caldwell_Park_Rel,1,13,2014-02-10,Caldwell_Park_Rel
0.991,0.003,0.983,0.995,0.10730309999999998,AbvTisdale,TowerBridge,269.23,172,Lower Sac R,AbvTisdale to TowerBridge,269.23 to 172,121,121,39.0364,-121.82918,38.5802,-121.508,2014-02-10_Caldwell_Park_Rel,1,14,2014-02-10,Caldwell_Park_Rel
0.982,0.014,0.925,0.996,0.14012419999999992,TowerBridge,FreeportBr,172,151.1,Lower Sac R,TowerBridge to FreeportBr,172 to 151.1,121,92,38.5802,-121.508,38.45568,-121.501976,2014-02-10_Caldwell_Park_Rel,1,15,2014-02-10,Caldwell_Park_Rel
0.94,0.04,0.798,0.984,0.2300685,FreeportBr,Hood,151.1,138.22,Lower Sac R,FreeportBr to Hood,151.1 to 138.22,92,103,38.45568,-121.501976,38.3617,-121.52033,2014-02-10_Caldwell_Park_Rel,1,16,2014-02-10,Caldwell_Park_Rel
0.899,0.014,0.867,0.924,0.2150124,Hood,Benicia,138.22,52.04,Carquinez Strait,Hood to Benicia,138.22 to 52.04,103,43,38.3617,-121.52033,38.041233,-122.12382,2014-02-10_Caldwell_Park_Rel,1,17,2014-02-10,Caldwell_Park_Rel
0.789,0.04,0.7,0.857,0.29733889999999996,Benicia,GoldenGateE,52.04,1.71,SF Bay,Benicia to GoldenGateE,52.04 to 1.71,43,11,38.041233,-122.12382,37.82794,-122.46168,2014-02-10_Caldwell_Park_Rel,1,18,2014-02-10,Caldwell_Park_Rel
