estimate,se,lcl,ucl,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,group,reach_num,mean_rel_date,release_site
0.985,0.007,0.96,0.995,Bonnyview_Rel,Blw_ClearCr,540.25,535.62,Upper Sac R,Bonnyview_Rel to Blw_ClearCr,540.25 to 535.62,570,553,40.53758,-122.35724,40.50188,-122.36192,2016-02-17_Bonnyview_Rel,1,1,2016-02-17,Bonnyview_Rel
0.995,0.002,0.987,0.998,Blw_ClearCr,BlwCowCr,535.62,520.69,Upper Sac R,Blw_ClearCr to BlwCowCr,535.62 to 520.69,553,546,40.50188,-122.36192,40.46013,-122.22765,2016-02-17_Bonnyview_Rel,1,2,2016-02-17,Bonnyview_Rel
0.994,0.004,0.979,0.998,BlwCowCr,Battle_Conf,520.69,507.48,Upper Sac R,BlwCowCr to Battle_Conf,520.69 to 507.48,546,463,40.46013,-122.22765,40.35371,-122.17734,2016-02-17_Bonnyview_Rel,1,3,2016-02-17,Bonnyview_Rel
0.99,0.003,0.984,0.994,Battle_Conf,Blw_Paynes_Ck,507.48,476.27,Upper Sac R,Battle_Conf to Blw_Paynes_Ck,507.48 to 476.27,463,541,40.35371,-122.17734,40.25534,-122.17332,2016-02-17_Bonnyview_Rel,1,4,2016-02-17,Bonnyview_Rel
0.996,0.002,0.99,0.999,Blw_Paynes_Ck,Blw_Salt,476.27,456.88,Upper Sac R,Blw_Paynes_Ck to Blw_Salt,476.27 to 456.88,541,532,40.25534,-122.17332,40.1464,-122.15246,2016-02-17_Bonnyview_Rel,1,5,2016-02-17,Bonnyview_Rel
0.998,0.002,0.99,1,Blw_Salt,Mill_Ck_Conf,456.88,441.31,Upper Sac R,Blw_Salt to Mill_Ck_Conf,456.88 to 441.31,532,511,40.1464,-122.15246,40.0327,-122.11987,2016-02-17_Bonnyview_Rel,1,6,2016-02-17,Bonnyview_Rel
0.994,0.003,0.986,0.998,Mill_Ck_Conf,Abv_WoodsonBr,441.31,425.15,Upper Sac R,Mill_Ck_Conf to Abv_WoodsonBr,441.31 to 425.15,511,528,40.0327,-122.11987,39.920094,-122.08446000000001,2016-02-17_Bonnyview_Rel,1,7,2016-02-17,Bonnyview_Rel
0.986,0.003,0.979,0.991,Abv_WoodsonBr,Blw_IrvineFinch,425.15,394.66,Upper Sac R,Abv_WoodsonBr to Blw_IrvineFinch,425.15 to 394.66,528,505,39.920094,-122.08446000000001,39.73146,-121.97483,2016-02-17_Bonnyview_Rel,1,8,2016-02-17,Bonnyview_Rel
0.978,0.004,0.969,0.984,Blw_IrvineFinch,BlwOrd,394.66,361.72,Upper Sac R,Blw_IrvineFinch to BlwOrd,394.66 to 361.72,505,463,39.73146,-121.97483,39.56548,-122.0018,2016-02-17_Bonnyview_Rel,1,9,2016-02-17,Bonnyview_Rel
1,0,1,1,BlwOrd,ButteBr,361.72,344.1,Lower Sac R,BlwOrd to ButteBr,361.72 to 344.1,463,377,39.56548,-122.0018,39.4569,-121.995,2016-02-17_Bonnyview_Rel,1,10,2016-02-17,Bonnyview_Rel
0.951,0.003,0.945,0.956,ButteBr,Chipps,344.1,71.47999999999999,West Delta,ButteBr to Chipps,344.1 to 71.48,377,118,39.4569,-121.995,38.046132,-121.912643,2016-02-17_Bonnyview_Rel,1,11,2016-02-17,Bonnyview_Rel
0.945,0.018,0.896,0.971,Chipps,Benicia,71.47999999999999,52.04,Carquinez Strait,Chipps to Benicia,71.48 to 52.04,118,100,38.046132,-121.912643,38.041233,-122.12382,2016-02-17_Bonnyview_Rel,1,12,2016-02-17,Bonnyview_Rel
0.911,0.015,0.876,0.937,Benicia,GoldenGateE,52.04,1.71,SF Bay,Benicia to GoldenGateE,52.04 to 1.71,100,40,38.041233,-122.12382,37.82794,-122.46168,2016-02-17_Bonnyview_Rel,1,13,2016-02-17,Bonnyview_Rel
