reach_end,reach_start,estimate,se,lcl,ucl,CI,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
Blw_Cypress,Caldwell_Park_Rel,0.997,0.001,0.994,0.998,0.03364159999999994,551.28,543.9,Upper Sac R,Caldwell_Park_Rel to Blw_Cypress,551.28 to 543.9,40.593826,-122.39836,40.56047,-122.37527,2020-03-10_Caldwell_Park_Rel,2020-03-10,367,358,1,1,Caldwell_Park_Rel
Blw_ClearCr,Blw_Cypress,0.999,0,0.997,1,0.020656200000000013,543.9,535.62,Upper Sac R,Blw_Cypress to Blw_ClearCr,543.9 to 535.62,40.56047,-122.37527,40.50188,-122.36192,2020-03-10_Caldwell_Park_Rel,2020-03-10,358,356,1,2,Caldwell_Park_Rel
BlwCowCr,Blw_ClearCr,1,0,0.998,1,0.020770500000000025,535.62,520.69,Upper Sac R,Blw_ClearCr to BlwCowCr,535.62 to 520.69,40.50188,-122.36192,40.46013,-122.22765,2020-03-10_Caldwell_Park_Rel,2020-03-10,356,354,1,3,Caldwell_Park_Rel
Battle_Conf,BlwCowCr,0.998,0.001,0.996,0.999,0.036430399999999974,520.69,507.48,Upper Sac R,BlwCowCr to Battle_Conf,520.69 to 507.48,40.46013,-122.22765,40.35371,-122.17734,2020-03-10_Caldwell_Park_Rel,2020-03-10,354,344,1,4,Caldwell_Park_Rel
Blw_Paynes_Ck,Battle_Conf,0.997,0.001,0.996,0.998,0.05857950000000001,507.48,476.27,Upper Sac R,Battle_Conf to Blw_Paynes_Ck,507.48 to 476.27,40.35371,-122.17734,40.25534,-122.17332,2020-03-10_Caldwell_Park_Rel,2020-03-10,344,316,1,5,Caldwell_Park_Rel
Altube,Blw_Paynes_Ck,0.997,0.001,0.995,0.998,0.04841810000000002,476.27,460.4,Upper Sac R,Blw_Paynes_Ck to Altube,476.27 to 460.4,40.25534,-122.17332,40.15348,-122.1887,2020-03-10_Caldwell_Park_Rel,2020-03-10,316,301,1,6,Caldwell_Park_Rel
Mill_Ck_Conf,Altube,0.998,0.001,0.996,0.999,0.05148339999999996,460.4,441.31,Upper Sac R,Altube to Mill_Ck_Conf,460.4 to 441.31,40.15348,-122.1887,40.0327,-122.11987,2020-03-10_Caldwell_Park_Rel,2020-03-10,301,286,1,7,Caldwell_Park_Rel
Abv_WoodsonBr,Mill_Ck_Conf,0.988,0.002,0.985,0.991,0.08809260000000008,441.31,425.15,Upper Sac R,Mill_Ck_Conf to Abv_WoodsonBr,441.31 to 425.15,40.0327,-122.11987,39.920094,-122.08446000000001,2020-03-10_Caldwell_Park_Rel,2020-03-10,286,238,1,8,Caldwell_Park_Rel
GCID_Main,Abv_WoodsonBr,0.981,0.002,0.976,0.985,0.12434100000000003,425.15,405.71,Upper Sac R,Abv_WoodsonBr to GCID_Main,425.15 to 405.71,39.920094,-122.08446000000001,39.79698,-122.04706,2020-03-10_Caldwell_Park_Rel,2020-03-10,238,141,1,9,Caldwell_Park_Rel
Blw_IrvineFinch,GCID_Main,0.98,0.004,0.971,0.986,0.1347741,405.71,394.66,Upper Sac R,GCID_Main to Blw_IrvineFinch,405.71 to 394.66,39.79698,-122.04706,39.73146,-121.97483,2020-03-10_Caldwell_Park_Rel,2020-03-10,141,129,1,10,Caldwell_Park_Rel
Ord,Blw_IrvineFinch,0.972,0.004,0.964,0.978,0.16986069999999998,394.66,371.65,Upper Sac R,Blw_IrvineFinch to Ord,394.66 to 371.65,39.73146,-121.97483,39.63447,-121.98959,2020-03-10_Caldwell_Park_Rel,2020-03-10,129,68,1,11,Caldwell_Park_Rel
BlwOrd,Ord,0.989,0.004,0.978,0.995,0.15032139999999994,371.65,361.72,Upper Sac R,Ord to BlwOrd,371.65 to 361.72,39.63447,-121.98959,39.56548,-122.0018,2020-03-10_Caldwell_Park_Rel,2020-03-10,68,61,1,12,Caldwell_Park_Rel
Colusa AC3,BlwOrd,0.992,0.002,0.987,0.996,0.20469249999999994,361.72,331.15,Lower Sac R,BlwOrd to Colusa AC3,361.72 to 331.15,39.56548,-122.0018,39.359877499999996,-122.01365999999999,2020-03-10_Caldwell_Park_Rel,2020-03-10,61,41,1,13,Caldwell_Park_Rel
Colusa AC2,Colusa AC3,0.998,0.002,0.986,1,0.15164620000000006,331.15,318.61,Lower Sac R,Colusa AC3 to Colusa AC2,331.15 to 318.61,39.359877499999996,-122.01365999999999,39.28007,-122.01891,2020-03-10_Caldwell_Park_Rel,2020-03-10,41,47,1,14,Caldwell_Park_Rel
Colusa BC4,Colusa AC2,0.999,0.001,0.995,1,0.14519939999999998,318.61,280.4,Lower Sac R,Colusa AC2 to Colusa BC4,318.61 to 280.4,39.28007,-122.01891,39.09362,-121.89405,2020-03-10_Caldwell_Park_Rel,2020-03-10,47,44,1,15,Caldwell_Park_Rel
AbvTisdale,Colusa BC4,0.998,0.002,0.986,1,0.13965709999999998,280.4,269.23,Lower Sac R,Colusa BC4 to AbvTisdale,280.4 to 269.23,39.09362,-121.89405,39.0364,-121.82918,2020-03-10_Caldwell_Park_Rel,2020-03-10,44,44,1,16,Caldwell_Park_Rel
BlwTisdale,AbvTisdale,1,0,1,1,0,269.23,261.4,Lower Sac R,AbvTisdale to BlwTisdale,269.23 to 261.4,39.0364,-121.82918,38.98941,-121.80463,2020-03-10_Caldwell_Park_Rel,2020-03-10,44,43,1,17,Caldwell_Park_Rel
BlwChinaBend,BlwTisdale,0.999,0.001,0.991,1,0.15535130000000008,261.4,240.61,Lower Sac R,BlwTisdale to BlwChinaBend,261.4 to 240.61,38.98941,-121.80463,38.88406,-121.81713,2020-03-10_Caldwell_Park_Rel,2020-03-10,43,37,1,18,Caldwell_Park_Rel
Knights_RST,BlwChinaBend,0.999,0.001,0.99,1,0.16237940000000006,240.61,222.05,Lower Sac R,BlwChinaBend to Knights_RST,240.61 to 222.05,38.88406,-121.81713,38.79248,-121.69087,2020-03-10_Caldwell_Park_Rel,2020-03-10,37,42,1,19,Caldwell_Park_Rel
TowerBridge,Knights_RST,0.998,0.001,0.995,0.999,0.19089390000000006,222.05,172,Lower Sac R,Knights_RST to TowerBridge,222.05 to 172,38.79248,-121.69087,38.5802,-121.508,2020-03-10_Caldwell_Park_Rel,2020-03-10,42,38,1,20,Caldwell_Park_Rel
Freeport,TowerBridge,1,0,1,1,0,172,152.43,Lower Sac R,TowerBridge to Freeport,172 to 152.43,38.5802,-121.508,38.46467,-121.50501,2020-03-10_Caldwell_Park_Rel,2020-03-10,38,37,1,21,Caldwell_Park_Rel
Chipps,Freeport,0.987,0.003,0.981,0.992,0.2947984,152.43,71.48,West Delta,Freeport to Chipps,152.43 to 71.48,38.46467,-121.50501,38.046132,-121.912643,2020-03-10_Caldwell_Park_Rel,2020-03-10,37,12,1,22,Caldwell_Park_Rel
Benicia,Chipps,1,0,1,1,0,71.48,52.14,Carquinez Strait,Chipps to Benicia,71.48 to 52.14,38.046132,-121.912643,38.0423015,-122.1236,2020-03-10_Caldwell_Park_Rel,2020-03-10,12,11,1,23,Caldwell_Park_Rel
GoldenGateE,Benicia,0.989,0.005,0.975,0.995,0.48080470000000003,52.14,1.71,SF Bay,Benicia to GoldenGateE,52.14 to 1.71,38.0423015,-122.1236,37.82794,-122.46168,2020-03-10_Caldwell_Park_Rel,2020-03-10,11,7,1,24,Caldwell_Park_Rel
