estimate,se,lcl,ucl,StudyID,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end
0.9274764,0.012752,0.8981628,0.9488328,Winter_H_2021,Caldwell_Park_Rel,Blw_Cypress,551.288,543.908,Upper Sac R,"Caldwell_Park_Rel to 
Blw_Cypress",551.288 to 543.908,555,523,40.593826,-122.39836,40.56047,-122.37527
0.9981429,0.0023161,0.9789156,0.9998393,Winter_H_2021,Blw_Cypress,Blw_ClearCr,543.908,535.628,Upper Sac R,"Blw_Cypress to 
Blw_ClearCr",543.908 to 535.628,523,515,40.56047,-122.37527,40.50188,-122.36192
0.985922,0.0043036,0.97445,0.9922838,Winter_H_2021,Blw_ClearCr,BlwCowCr,535.628,520.698,Upper Sac R,"Blw_ClearCr to 
BlwCowCr",535.628 to 520.698,515,511,40.50188,-122.36192,40.46013,-122.22765
0.9253035,0.0102127,0.9026549,0.9430152,Winter_H_2021,BlwCowCr,Battle_Conf,520.698,507.488,Upper Sac R,"BlwCowCr to 
Battle_Conf",520.698 to 507.488,511,1,40.46013,-122.22765,40.35371,-122.17734
0.9999999,1.254663e-4,6.227192e-302,1,Winter_H_2021,Battle_Conf,Blw_Paynes_Ck,507.488,476.278,Upper Sac R,"Battle_Conf to 
Blw_Paynes_Ck",507.488 to 476.278,1,462,40.35371,-122.17734,40.25534,-122.17332
0.8944708,0.0115363,0.8696311,0.9150401,Winter_H_2021,Blw_Paynes_Ck,Abv_Altube1,476.278,460.4,Upper Sac R,"Blw_Paynes_Ck to 
Abv_Altube1",476.278 to 460.4,462,387,40.25534,-122.17332,40.15348,-122.1887
0.9564597,0.0173827,0.9064835,0.9803083,Winter_H_2021,Abv_Altube1,Blw_Salt,460.4,456.888,Upper Sac R,"Abv_Altube1 to 
Blw_Salt",460.4 to 456.888,387,382,40.15348,-122.1887,40.1464,-122.15246
0.9657409,0.0053257,0.9536222,0.9747767,Winter_H_2021,Blw_Salt,Abv_WoodsonBr,456.888,425.158,Upper Sac R,"Blw_Salt to 
Abv_WoodsonBr",456.888 to 425.158,382,342,40.1464,-122.15246,39.920094,-122.08446000000001
0.8608669,0.0140614,0.8309546,0.8862111,Winter_H_2021,Abv_WoodsonBr,GCID_abv,425.158,406.118,Upper Sac R,"Abv_WoodsonBr to 
GCID_abv",425.158 to 406.118,342,255,39.920094,-122.08446000000001,39.806767,-122.05846
0.7023367,0.0650951,0.5617244,0.8128653,Winter_H_2021,GCID_abv,GCID_blw,406.118,404.428,Upper Sac R,"GCID_abv to 
GCID_blw",406.118 to 404.428,255,237,39.806767,-122.05846,39.79114,-122.036026
0.9652902,0.0138762,0.9250944,0.9842827,Winter_H_2021,GCID_blw,Blw_IrvineFinch,404.428,394.668,Upper Sac R,"GCID_blw to 
Blw_IrvineFinch",404.428 to 394.668,237,224,39.79114,-122.036026,39.73146,-121.97483
0.9073766,0.013213,0.8780267,0.9302254,Winter_H_2021,Blw_IrvineFinch,Ord,394.668,371.658,Upper Sac R,"Blw_IrvineFinch to 
Ord",394.668 to 371.658,224,186,39.73146,-121.97483,39.63447,-121.98959
0.8978994,0.0223761,0.8449732,0.9341644,Winter_H_2021,Ord,BlwOrd,371.658,361.728,Upper Sac R,"Ord to 
BlwOrd",371.658 to 361.728,186,167,39.63447,-121.98959,39.56548,-122.0018
0.9378773,0.0154826,0.8996795,0.962143,Winter_H_2021,BlwOrd,ButteBr,361.728,344.108,Upper Sac R,"BlwOrd to 
ButteBr",361.728 to 344.108,167,121,39.56548,-122.0018,39.4569,-121.995
0.9527084,0.0194151,0.8964486,0.9791142,Winter_H_2021,ButteBr,Colusa AC3,344.108,331.158,Lower Sac R,"ButteBr to 
Colusa AC3",344.108 to 331.158,121,115,39.4569,-121.995,39.36038,-122.01373
0.938715,0.0203681,0.8844274,0.968413,Winter_H_2021,Colusa AC3,Colusa AC2,331.158,318.618,Lower Sac R,"Colusa AC3 to 
Colusa AC2",331.158 to 318.618,115,127,39.36038,-122.01373,39.28007,-122.01891
0.9260713,0.023432,0.8649499,0.9607843,Winter_H_2021,Colusa AC2,AbvColusaBr,318.618,307.738,Lower Sac R,"Colusa AC2 to 
AbvColusaBr",318.618 to 307.738,127,107,39.28007,-122.01891,39.2205,-122.00847
0.94524,0.0211504,0.8857043,0.9746516,Winter_H_2021,AbvColusaBr,Colusa BC2,307.738,296.278,Lower Sac R,"AbvColusaBr to 
Colusa BC2",307.738 to 296.278,107,105,39.2205,-122.00847,39.184963,-121.943214
0.9616375,0.0239886,0.8751243,0.9889703,Winter_H_2021,Colusa BC2,Colusa BC3,296.278,287.208,Lower Sac R,"Colusa BC2 to 
Colusa BC3",296.278 to 287.208,105,90,39.184963,-121.943214,39.13132,-121.936554
0.9559964,0.0162855,0.9104961,0.9789021,Winter_H_2021,Colusa BC3,AbvTisdale,287.208,269.238,Lower Sac R,"Colusa BC3 to 
AbvTisdale",287.208 to 269.238,90,99,39.13132,-121.936554,39.0364,-121.82918
0.9884056,0.0128875,0.9039081,0.9987073,Winter_H_2021,AbvTisdale,BlwTisdale,269.238,261.408,Lower Sac R,"AbvTisdale to 
BlwTisdale",269.238 to 261.408,99,98,39.0364,-121.82918,38.98941,-121.80463
0.9560601,0.014801,0.916018,0.9774798,Winter_H_2021,BlwTisdale,BlwChinaBend,261.408,240.618,Lower Sac R,"BlwTisdale to 
BlwChinaBend",261.408 to 240.618,98,87,38.98941,-121.80463,38.88406,-121.81713
0.9558399,0.0163236,0.9102579,0.9788088,Winter_H_2021,BlwChinaBend,Knights_RST,240.618,222.05,Lower Sac R,"BlwChinaBend to 
Knights_RST",240.618 to 222.05,87,2,38.88406,-121.81713,38.79248,-121.69087
1,0,1,1,Winter_H_2021,Knights_RST,KnightsBlwRST,222.05,221.58,Lower Sac R,"Knights_RST to 
KnightsBlwRST",222.05 to 221.58,2,80,38.79248,-121.69087,38.78877,-121.694
1,0,1,1,Winter_H_2021,KnightsBlwRST,Abv_FremontWeir,221.58,215.18,Lower Sac R,"KnightsBlwRST to 
Abv_FremontWeir",221.58 to 215.18,80,82,38.78877,-121.694,38.76009,-121.67145
0.9545199,0.0344116,0.8161203,0.9900244,Winter_H_2021,Abv_FremontWeir,Blw_FremontWeir,215.18,210.36,Lower Sac R,"Abv_FremontWeir to 
Blw_FremontWeir",215.18 to 210.36,82,80,38.76009,-121.67145,38.77015,-121.6322
0.8096298,0.0525405,0.6855661,0.8924239,Winter_H_2021,Blw_FremontWeir,Blw_FRConf,210.36,203.468,Lower Sac R,"Blw_FremontWeir to 
Blw_FRConf",210.36 to 203.468,80,69,38.77015,-121.6322,38.78212,-121.61526
0.7529214,0.097673,0.5212828,0.8950435,Winter_H_2021,Blw_FRConf,Blw_FR_GS2,203.468,199,Lower Sac R,"Blw_FRConf to 
Blw_FR_GS2",203.468 to 199,69,22,38.78212,-121.61526,38.73505,-121.60267
0.9571649,0.0648125,0.5020708,0.9979847,Winter_H_2021,Blw_FR_GS2,Blw_Elkhorn_GS1,199,191.92,Lower Sac R,"Blw_FR_GS2 to 
Blw_Elkhorn_GS1",199 to 191.92,22,41,38.73505,-121.60267,38.64737,-121.57771
0.975207,0.017314,0.906238,0.99379169999999994,Winter_H_2021,Blw_Elkhorn_GS1,TowerBridge,191.92,172,Lower Sac R,"Blw_Elkhorn_GS1 to 
TowerBridge",191.92 to 172,41,56,38.64737,-121.57771,38.5802,-121.508
1,0,1,1,Winter_H_2021,TowerBridge,I80-50_Br,172,170.748,Lower Sac R,"TowerBridge to 
I80-50_Br",172 to 170.748,56,56,38.5802,-121.508,38.571133,-121.5164
1,0,1,1,Winter_H_2021,I80-50_Br,SacTrawl,170.748,166.8225,Lower Sac R,"I80-50_Br to 
SacTrawl",170.748 to 166.8225,56,56,38.571133,-121.5164,38.539519999999996,-121.51444000000001
0.8718981,0.0906795,0.5809263,0.9709461,Winter_H_2021,SacTrawl,Little Pocket_DS of I80,166.8225,164.387,Lower Sac R,"SacTrawl to 
Little Pocket_DS of I80",166.8225 to 164.387,56,49,38.539519999999996,-121.51444000000001,38.52448,-121.52849
0.9828934,0.0169597,0.8883548,0.9975955,Winter_H_2021,Little Pocket_DS of I80,Freeport,164.387,152.438,Lower Sac R,"Little Pocket_DS of I80 to 
Freeport",164.387 to 152.438,49,54,38.52448,-121.52849,38.46467,-121.50501
1,0,1,1,Winter_H_2021,Freeport,Abv_Clarksburg,152.438,147.668,Lower Sac R,"Freeport to 
Abv_Clarksburg",152.438 to 147.668,54,44,38.46467,-121.50501,38.43443,-121.52448
1,0,1,1,Winter_H_2021,Abv_Clarksburg,Hood,147.668,138.228,Lower Sac R,"Abv_Clarksburg to 
Hood",147.668 to 138.228,44,2,38.43443,-121.52448,38.3617,-121.52033
0.8920836,0.0196269,0.8471748,0.9249645,Winter_H_2021,Hood,Chipps,138.228,71.48599999999999,Lower Sac R,"Hood to 
Chipps",138.228 to 71.486,2,24,38.3617,-121.52033,38.046132,-121.912643
0.9100355,0.0429545,0.7834238,0.9658552,Winter_H_2021,Chipps,Benicia,71.48599999999999,52.144000000000005,West Delta,"Chipps to 
Benicia",71.486 to 52.144,24,21,38.046132,-121.912643,38.0423015,-122.1236
0.9427601,0.0266549,0.8621702,0.9774605,Winter_H_2021,Benicia,GoldenGateE,52.144000000000005,1.71,Carquinez Strait,"Benicia to 
GoldenGateE",52.144 to 1.71,21,12,38.0423015,-122.1236,37.82794,-122.46168
0.134858,0.1913194,0.0062264,0.7950057,Winter_H_2021,GoldenGateE,GoldenGateW,1.71,0.8,SF Bay,"GoldenGateE to 
GoldenGateW",1.71 to 0.8,12,13,37.82794,-122.46168,37.82126,-122.46918
