reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
Blw_Cypress,Caldwell_Park_Rel,0.995,0.002,0.988,0.998,551.288,543.908,Upper Sac R,Caldwell_Park_Rel to Blw_Cypress,551.288 to 543.908,40.593826,-122.39836,40.56047,-122.37527,2022-02-10_Caldwell_Park_Rel,2022-02-10,139,134,1,1,Caldwell_Park_Rel
Blw_ClearCr,Blw_Cypress,0.999,0.001,0.994,1,543.908,535.628,Upper Sac R,Blw_Cypress to Blw_ClearCr,543.908 to 535.628,40.56047,-122.37527,40.50188,-122.36192,2022-02-10_Caldwell_Park_Rel,2022-02-10,134,133,1,2,Caldwell_Park_Rel
BlwCowCr,Blw_ClearCr,0.999,0.001,0.996,1,535.628,520.698,Upper Sac R,Blw_ClearCr to BlwCowCr,535.628 to 520.698,40.50188,-122.36192,40.46013,-122.22765,2022-02-10_Caldwell_Park_Rel,2022-02-10,133,132,1,3,Caldwell_Park_Rel
Battle_Conf,BlwCowCr,0.999,0.001,0.995,1,520.698,507.488,Upper Sac R,BlwCowCr to Battle_Conf,520.698 to 507.488,40.46013,-122.22765,40.35371,-122.17734,2022-02-10_Caldwell_Park_Rel,2022-02-10,132,130,1,4,Caldwell_Park_Rel
Blw_Paynes_Ck,Battle_Conf,0.997,0.001,0.995,0.999,507.488,476.278,Upper Sac R,Battle_Conf to Blw_Paynes_Ck,507.488 to 476.278,40.35371,-122.17734,40.25534,-122.17332,2022-02-10_Caldwell_Park_Rel,2022-02-10,130,120,1,5,Caldwell_Park_Rel
Blw_Salt,Blw_Paynes_Ck,0.996,0.001,0.992,0.998,476.278,456.888,Upper Sac R,Blw_Paynes_Ck to Blw_Salt,476.278 to 456.888,40.25534,-122.17332,40.1464,-122.15246,2022-02-10_Caldwell_Park_Rel,2022-02-10,120,111,1,6,Caldwell_Park_Rel
Mill_Ck_Conf,Blw_Salt,0.999,0.001,0.99,1,456.888,441.318,Upper Sac R,Blw_Salt to Mill_Ck_Conf,456.888 to 441.318,40.1464,-122.15246,40.0327,-122.11987,2022-02-10_Caldwell_Park_Rel,2022-02-10,111,106,1,7,Caldwell_Park_Rel
Ord,Mill_Ck_Conf,0.992,0.001,0.989,0.994,441.318,371.658,Upper Sac R,Mill_Ck_Conf to Ord,441.318 to 371.658,40.0327,-122.11987,39.63447,-121.98959,2022-02-10_Caldwell_Park_Rel,2022-02-10,106,57,1,8,Caldwell_Park_Rel
Colusa AC2,Ord,0.989,0.002,0.984,0.993,371.658,318.618,Lower Sac R,Ord to Colusa AC2,371.658 to 318.618,39.63447,-121.98959,39.28007,-122.01891,2022-02-10_Caldwell_Park_Rel,2022-02-10,57,35,1,9,Caldwell_Park_Rel
AbvColusaBr,Colusa AC2,0.998,0.003,0.978,1,318.618,307.738,Lower Sac R,Colusa AC2 to AbvColusaBr,318.618 to 307.738,39.28007,-122.01891,39.2205,-122.00847,2022-02-10_Caldwell_Park_Rel,2022-02-10,35,31,1,10,Caldwell_Park_Rel
