Index,KES,BND,BTC,WLK,MEN,NEW,VNS,MSD,BND.Natural
1998-01-28,32890,49606,NA,29023,NA,1552,7150,NA,NA
1998-01-29,28673,48063,NA,29073,NA,1495,7083,NA,NA
1998-01-30,35889,54644,68129,28644,NA,1978,7446,NA,NA
1998-01-31,36306,48703,67412,28650,NA,3291,9022,NA,NA
1998-02-01,22559,55394,64142,28497,57,3854,10089,NA,NA
1998-02-02,14382,41994,76187,28612,249,4042,11063,NA,NA
1998-02-03,21780,85528,91045,29217,540,5158,13178,NA,NA
1998-02-04,51466,73491,137487,29855,843,7242,16914,NA,NA
1998-02-05,22339,64867,132221,30740,1096,8548,19450,NA,NA
1998-02-06,21439,69465,119200,30878,959,10092,20726,NA,NA
1998-02-07,28257,79183,113765,30668,695,12142,22278,NA,NA
1998-02-08,41603,79758,120060,30814,679,14817,25765,NA,NA
1998-02-09,55079,77637,115877,30995,459,16583,29519,NA,NA
1998-02-10,50441,72206,101243,30691,652,17984,32094,NA,NA
1998-02-11,50715,73565,95160,30152,778,18082,33467,NA,NA
1998-02-12,48723,69407,94605,29872,911,17446,34280,NA,NA
1998-02-13,50095,73750,89833,29672,851,16850,35036,NA,NA
1998-02-14,42278,83112,93804,29619,782,16473,34511,NA,NA
1998-02-15,47235,66586,101350,29635,726,15933,34061,NA,NA
1998-02-16,53354,70712,93289,29744,491,15648,33548,NA,NA
1998-02-17,53463,73499,85686,29508,734,16096,32835,NA,NA
1998-02-18,51667,71332,93147,29425,649,15411,32204,NA,NA
1998-02-19,22685,64281,84835,29384,724,14727,32402,NA,NA
1998-02-20,37167,67871,97789,29290,653,14434,32364,NA,NA
1998-02-21,17256,59125,100324,29585,740,13905,31830,NA,NA
1998-02-22,46961,68931,95483,29557,1231,13896,31657,NA,NA
1998-02-23,27570,64468,92175,29542,884,14191,31258,NA,NA
1998-02-24,44883,64312,94412,29431,1279,14754,30908,NA,NA
1998-02-25,49839,66360,88539,29430,1264,15068,30564,NA,NA
1998-02-26,48877,63269,79499,29189,579,15464,31061,NA,NA
1998-02-27,44942,54132,74057,28972,297,15289,30987,NA,NA
1998-02-28,45302,54696,63910,28565,316,14444,31207,NA,NA
1998-03-01,45797,54617,60476,28108,633,12817,30770,NA,NA
1998-03-02,41472,53371,60131,27979,353,11576,29357,NA,NA
1998-03-03,35912,47497,58762,27873,732,10301,27881,NA,NA
1998-03-04,31148,42659,53417,27658,535,9018,26406,NA,NA
1998-03-05,26951,37826,48010,27281,901,8762,24926,NA,NA
1998-03-06,23297,33615,43152,26861,695,8446,23636,NA,NA
1998-03-07,20032,29469,38728,26497,661,8195,22741,NA,NA
1998-03-08,17052,26507,34906,26085,1020,8149,21480,NA,NA
1998-03-09,14734,23068,32051,25701,962,8223,20495,NA,NA
1998-03-10,14393,21719,28712,25196,607,8185,20092,NA,NA
1998-03-11,12470,19342,27283,24524,695,8024,19636,NA,NA
1998-03-12,10796,17585,24848,24056,708,7784,19133,NA,NA
1998-03-13,9690,20661,24153,23487,1095,7583,18692,NA,NA
1998-03-14,8202,18275,28124,23783,1365,7214,18162,NA,NA
1998-03-15,7145,15247,24624,24207,1226,6667,17622,NA,NA
1998-03-16,6138,14640,22459,23246,1113,6376,17048,NA,NA
1998-03-17,5831,13666,22194,22643,1105,6449,16367,NA,NA
1998-03-18,6805,12932,21156,22065,1107,6545,15405,NA,NA
1998-03-19,11339,15630,20774,21198,1315,6222,14343,NA,NA
1998-03-20,22441,24009,23279,21429,1158,5991,13979,NA,NA
1998-03-21,29945,34193,30501,23519,926,5838,14566,NA,NA
1998-03-22,22579,61139,42212,25361,1227,5592,14676,NA,NA
1998-03-23,18153,44919,67088,26944,1281,5348,14313,NA,NA
1998-03-24,37707,55972,68601,28241,1362,5168,14069,NA,NA
1998-03-25,42886,65319,71022,28421,1820,5716,13978,NA,NA
1998-03-26,45057,60478,74719,28546,2008,8207,14950,NA,NA
1998-03-27,44332,56491,72707,28578,2169,11966,15965,NA,NA
1998-03-28,37582,48923,68015,28385,2228,15438,16934,NA,NA
1998-03-29,32737,43525,60193,28147,1902,15514,19019,NA,NA
1998-03-30,28074,38033,51419,27661,1953,14315,21556,NA,NA
1998-03-31,27793,37298,44390,27114,2127,13301,22536,NA,NA
1998-04-01,27708,38262,45804,26740,2072,12466,22325,NA,NA
1998-04-02,23795,34027,46000,26858,2271,11922,21784,NA,NA
1998-04-03,20056,31618,41306,26581,2908,11746,21210,NA,NA
1998-04-04,17130,31247,41422,26385,3365,11933,21059,NA,NA
1998-04-05,17130,29083,40292,26407,3262,12233,21115,NA,NA
1998-04-06,14448,26715,38233,26244,3381,12402,21054,NA,NA
1998-04-07,12672,27306,39651,26151,3039,12445,21063,NA,NA
1998-04-08,10242,20608,38597,26386,3120,13303,21442,NA,NA
1998-04-09,10158,19190,30218,25770,3231,13396,22098,NA,NA
1998-04-10,8754,18744,28485,25059,3333,13328,22629,NA,NA
1998-04-11,7610,16508,27002,24755,3348,13957,22719,NA,NA
1998-04-12,7100,15070,24161,24233,3376,14786,22870,NA,NA
1998-04-13,6229,15137,22533,23476,3371,15108,23529,NA,NA
1998-04-14,6009,13734,22088,23028,3687,15162,24325,NA,NA
1998-04-15,6015,13447,20402,22295,3801,15058,24763,NA,NA
1998-04-16,6011,12428,19659,21012,3685,14613,24825,NA,NA
1998-04-17,6009,11855,18452,19252,3566,14180,24868,NA,NA
1998-04-18,8749,12567,17700,17409,3641,13598,24656,NA,NA
1998-04-19,9993,15009,18474,16773,3767,12795,24228,NA,NA
1998-04-20,9957,14969,19770,17666,3844,12114,23753,NA,NA
1998-04-21,10016,14872,19860,18501,3872,11853,22953,NA,NA
1998-04-22,10004,14721,19795,18732,3879,11670,21404,NA,NA
1998-04-23,10001,14966,20122,18740,3646,11380,20305,NA,NA
1998-04-24,10032,16268,21570,19275,3535,11105,20005,NA,NA
1998-04-25,10014,15228,21991,20555,3515,10842,19635,NA,NA
1998-04-26,9979,14638,22322,20820,3466,10783,19486,NA,NA
1998-04-27,9988,14332,22036,21230,3430,10670,19210,NA,NA
1998-04-28,10269,14291,20214,20773,3408,10501,18921,NA,NA
1998-04-29,10512,14814,19288,19209,3352,10293,18639,NA,NA
1998-04-30,10771,15118,19618,18427,3222,10006,18351,NA,NA
1998-05-01,10993,15492,20056,18456,3126,9635,18012,NA,NA
1998-05-02,10973,16586,20850,18843,2964,9356,17817,NA,NA
1998-05-03,10981,16381,21893,19650,2953,9166,17636,NA,NA
1998-05-04,10975,16162,22011,20526,2967,8958,17184,NA,NA
1998-05-05,10995,16268,21309,20426,3151,9020,16505,NA,NA
1998-05-06,10110,15382,21090,20096,3475,9438,16215,NA,NA
1998-05-07,9983,14682,19725,19519,NA,NA,16278,NA,NA
1998-05-08,10006,14600,19028,18316,NA,NA,16323,NA,NA
1998-05-09,10010,17232,20792,17690,3893,9846,16437,NA,NA
1998-05-10,10038,15885,22260,19479,3831,9647,16482,NA,NA
1998-05-11,11005,14927,20253,19861,3817,9470,16431,NA,NA
1998-05-12,13986,19125,19518,18473,3897,9578,16505,NA,NA
1998-05-13,12391,17903,22635,18538,4137,10195,17458,NA,NA
1998-05-14,13374,17987,20900,20051,4224,10608,17787,NA,NA
1998-05-15,13831,19593,20954,19274,4154,11269,17739,NA,NA
1998-05-16,14001,25672,20980,19059,3935,12272,17829,NA,NA
1998-05-17,14355,22192,27274,20605,3847,12391,17989,NA,NA
1998-05-18,15003,20911,23845,22336,3867,12080,18252,NA,NA
1998-05-19,14774,20164,22639,21542,3898,11911,18824,NA,NA
1998-05-20,15027,20298,21587,20634,3855,12023,19261,NA,NA
1998-05-21,14854,19770,21204,19631,3653,11993,19405,NA,NA
1998-05-22,16915,20324,20359,18993,3537,11668,19430,NA,NA
1998-05-23,17954,21961,21118,18361,3554,11416,19349,NA,NA
1998-05-24,18077,22192,22066,18828,3513,11114,19203,NA,NA
1998-05-25,17682,26436,22679,19586,3515,10894,18945,NA,NA
1998-05-26,17972,25218,26765,21029,3535,10666,18478,NA,NA
1998-05-27,18040,26326,26556,22380,3545,10328,18167,NA,NA
1998-05-28,29899,34512,29535,22803,3481,10296,17985,NA,NA
1998-05-29,24832,35641,57273,24794,3348,10385,18319,NA,NA
1998-05-30,22195,36960,72696,26800,3242,10377,18356,NA,NA
1998-05-31,19252,31063,60109,27311,3189,10337,18245,NA,NA
1998-06-01,19962,28819,42476,26503,3139,10299,18284,NA,NA
1998-06-02,19909,27557,36874,25526,3034,10182,18217,NA,NA
1998-06-03,19810,31058,33676,25050,2971,10068,17904,NA,NA
1998-06-04,19831,28804,37984,25022,2667,9860,17521,NA,NA
1998-06-05,19065,27127,35389,25166,2678,9578,17167,NA,NA
1998-06-06,18062,25135,33424,24897,2838,9327,16741,NA,NA
1998-06-07,17644,24440,30188,24582,2975,9167,16518,NA,NA
1998-06-08,16047,23342,28317,24020,3045,9301,16397,NA,NA
1998-06-09,13928,21170,25859,23314,3195,9760,16081,NA,NA
