study_id,fish_type,descript_name,incl_survival,incl_other,incl_deltasurv
BattleCk_Wild_2014,BattleCk Chinook,Battle Creek Wild Chinook 2014,YES,YES,NO
BC_Jumpstart_2021,BattleCk Winter Chinook,Battle Creek Hatchery Winter-run Chinook 2021,YES,YES,YES
BC_Jumpstart_2022,BattleCk Winter Chinook,Battle Creek Hatchery Winter-run Chinook 2022,YES,YES,NO
BC-Spring-2018,ButteCk Chinook,Butte Creek Wild Chinook 2018,YES,YES,NO
ColemanFall_2012,CNFH Fall Chinook,Coleman Hatchery Fall-run Chinook 2012,YES,YES,NO
ColemanFall_2013,CNFH Fall Chinook,Coleman Hatchery Fall-run Chinook 2013,YES,YES,NO
ColemanFall_2016,CNFH Fall Chinook,Coleman Hatchery Fall-run Chinook 2016,YES,YES,NO
ColemanFall_2017,CNFH Fall Chinook,Coleman Hatchery Fall-run Chinook 2017,YES,YES,NO
CNFH_FMR_2019,CNFH Fall Chinook,Coleman Hatchery Fall-run Chinook 2019,YES,YES,NO
CNFH_FMR_2020,CNFH Fall Chinook,Coleman Hatchery Fall-run Chinook 2020,YES,YES,NO
CNFH_FMR_2021,CNFH Fall Chinook,Coleman Hatchery Fall-run Chinook 2021,YES,YES,NO
ColemanAltRel_2021,CNFH Fall Chinook,Coleman Hatchery Fall-run Paired Rel 2021,NO,YES,YES
ColemanAltRel_2022,CNFH Fall Chinook,Coleman Hatchery Fall-run Paired Rel 2022,NO,YES,YES
ColemanLateFall_2018,CNFH Late-fall Chinook,Coleman Hatchery Late fall-run Chinook 2018,YES,YES,NO
ColemanLateFall_2019,Coleman Late-fall Chinook,Coleman Hatchery Late fall-run Chinook 2019,YES,YES,NO
ColemanLateFall_2020,CNFH Late-fall Chinook,Coleman Hatchery Late fall-run Chinook 2020,YES,YES,NO
ColemanLateFall_2021,CNFH Late-fall Chinook,Coleman Hatchery Late fall-run Chinook 2021,YES,YES,YES
DeerCk_Wild_STH_2018,Steelhead,Deer Creek Wild Steelhead 2018,NO,YES,NO
DeerCk_Wild_STH_2019,Steelhead,Deer Creek Wild Steelhead 2019,NO,YES,NO
DeerCk_Wild_STH_2020,Steelhead,Deer Creek Wild Steelhead 2020,NO,YES,NO
DeerCk_Wild_STH_2021,Steelhead,Deer Creek Wild Steelhead 2021,YES,YES,NO
