"","GPSname","GEN","VemcoSN","StartTime","EndTime","GenLat","GenLon"
"1","AbvTisdale2","AbvTisdale","108505",2018-07-18 15:10:00,2019-06-25 16:10:00,39.0364,-121.82918
"2","AbvTisdale2","AbvTisdale","108505",2020-11-23 15:31:00,2021-03-18 17:45:00,39.0364,-121.82918
"3","AbvTisdale2","AbvTisdale","108505",2020-01-23 13:21:00,2020-06-24 17:04:00,39.0364,-121.82918
"4","AbvTisdale2","AbvTisdale","108505",2021-03-18 17:51:00,2021-06-22 09:50:00,39.0364,-121.82918
"5","AbvTisdale2","AbvTisdale","108505",2018-02-15 15:29:00,2018-05-17 08:30:00,39.0364,-121.82918
"6","AbvTisdale2","AbvTisdale","108505",2021-06-22 10:00:00,2021-12-16 14:59:00,39.0364,-121.82918
"7","AbvTisdale2","AbvTisdale","108505",2022-12-12 15:02:00,2023-06-26 13:33:18,39.0364,-121.82918
"8","AbvTisdale2","AbvTisdale","108505",2020-06-24 17:31:00,2020-11-23 15:25:00,39.0364,-121.82918
"9","AbvTisdale2","AbvTisdale","108505",2023-06-26 13:40:16,NA,39.0364,-121.82918
"10","AbvTisdale2","AbvTisdale","108505",2019-10-24 12:30:00,2020-01-23 13:04:00,39.0364,-121.82918
"11","AbvTisdale2","AbvTisdale","108505",2019-06-25 16:10:00,2019-10-24 12:24:00,39.0364,-121.82918
"12","AbvTisdale2","AbvTisdale","108505",2022-06-29 15:52:00,2022-12-12 15:00:00,39.0364,-121.82918
"13","AbvTisdale2","AbvTisdale","108505",2018-05-17 08:49:00,2018-07-18 14:55:00,39.0364,-121.82918
"14","AbvTisdale2","AbvTisdale","108505",2021-12-16 15:08:00,2022-03-23 10:03:00,39.0364,-121.82918
"15","AbvTisdale2","AbvTisdale","108505",2022-03-23 10:12:00,2022-06-29 15:37:00,39.0364,-121.82918
"16","AbvTisdale3","AbvTisdale","106789",2022-06-29 15:33:00,2022-12-12 14:42:00,39.0364,-121.82918
"17","AbvTisdale3","AbvTisdale","106789",2020-11-23 15:05:00,2021-03-18 17:34:00,39.0364,-121.82918
"18","AbvTisdale3","AbvTisdale","108510",2018-07-18 16:40:00,2019-07-23 13:02:00,39.0364,-121.82918
"19","AbvTisdale3","AbvTisdale","108510",2018-02-15 15:49:00,2018-05-17 08:00:00,39.0364,-121.82918
"20","AbvTisdale3","AbvTisdale","108510",2018-05-17 08:27:00,2018-07-18 15:25:00,39.0364,-121.82918
"21","AbvTisdale3","AbvTisdale","106789",2021-03-18 17:40:00,2021-06-22 09:15:00,39.0364,-121.82918
"22","AbvTisdale3","AbvTisdale","106789",2021-06-22 09:25:00,2021-12-16 14:18:00,39.0364,-121.82918
"23","AbvTisdale3","AbvTisdale","106789",2021-12-16 15:22:00,2022-03-23 09:13:00,39.0364,-121.82918
"24","AbvTisdale3","AbvTisdale","106789",2019-10-24 12:08:00,2020-01-23 12:02:00,39.0364,-121.82918
